,Type of election,Year,Round,Registration (number of people),Total Vote  (number of people),Total Vote in %,Voter Abstention (number of people),Voter Abstention in %,Blank votes (number of people),Blank votes in %,Null votes (number of people),Null votes in %,Blank/Null votes (number of votes),Blank/Null votes in %,Political party winner (Latin),Political party winner,Political party winner - Nº of voters,Political party winner - % of voters,Source
12,Parliamentary,1993,,8861833.0,7019925.0,79.22,1841908.0,20.78,,,,,119614.0,1.7,PASOK,ΠΑΣΟΚ-ΚΙΝΑΛ,3235017.0,46.88,http://ekloges-info.ypes.gr/%CE%95%CE%98%CE%9D%CE%99%CE%9A%CE%95%CE%A3%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%95%CE%A3/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91%20%CE%95%CE%98%CE%9D%CE%99%CE%9A%CE%A9%CE%9D%20%28%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%A9%CE%9D%29%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%A9%CE%9D/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_1993_10_10_1%CE%A4%CE%9F%CE%9C_%CE%A3%CE%A5%CE%93%CE%9A%CE%95%CE%9D%CE%A4%CE%A1%CE%A9%CE%A4%CE%99%CE%9A%CE%91/PDF/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_10101993_1%CE%A4%CE%9F%CE%9C_%CE%A3%CE%A5%CE%93%CE%9A%CE%95%CE%9D%CE%A4%CE%A1%CE%A9%CE%A4%CE%99%CE%9A%CE%91.pdf
13,Parliamentary,1990,,8453695.0,6698491.0,79.24,1755204.0,20.76,,,,,112551.0,1.68,New Democracy,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,3088137.0,46.89,http://ekloges-info.ypes.gr/%CE%95%CE%98%CE%9D%CE%99%CE%9A%CE%95%CE%A3%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%95%CE%A3/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91%20%CE%95%CE%98%CE%9D%CE%99%CE%9A%CE%A9%CE%9D%20%28%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%A9%CE%9D%29%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%A9%CE%9D/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_1990_04_08_1%CE%A4%CE%9F%CE%9C_%CE%A3%CE%A5%CE%93%CE%9A%CE%95%CE%9D%CE%A4%CE%A1%CE%A9%CE%A4%CE%99%CE%9A%CE%91/PDF/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_08041990_1%CE%A4%CE%9F%CE%9C_%CE%A3%CE%A5%CE%93%CE%9A%CE%95%CE%9D%CE%A4%CE%A1%CE%A9%CE%A4%CE%99%CE%9A%CE%91.pdf
14,Parliamentary,1989,II,8425212.0,6799485.0,80.7,1625727.0,19.3,,,,,101917.0,1.5,New Democracy,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,3093479.0,46.19,http://ekloges-info.ypes.gr/%CE%95%CE%98%CE%9D%CE%99%CE%9A%CE%95%CE%A3%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%95%CE%A3/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91%20%CE%95%CE%98%CE%9D%CE%99%CE%9A%CE%A9%CE%9D%20%28%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%A9%CE%9D%29%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%A9%CE%9D/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_1989_11_05_1%CE%A4%CE%9F%CE%9C_%CE%A3%CE%A5%CE%93%CE%9A%CE%95%CE%9D%CE%A4%CE%A1%CE%A9%CE%A4%CE%99%CE%9A%CE%91/PDF/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_05111989_1%CE%A4%CE%9F%CE%9C_%CE%A3%CE%A5%CE%93%CE%9A%CE%95%CE%9D%CE%A4%CE%A1%CE%A9%CE%A4%CE%99%CE%9A%CE%91.pdf
15,Parliamentary,1989,I,8302412.0,6669228.0,80.33,1633184.0,19.67,,,,,148017.0,2.22,PASOK,ΠΑΣΟΚ-ΚΙΝΑΛ,2551518.0,44.28,http://ekloges-info.ypes.gr/%CE%95%CE%98%CE%9D%CE%99%CE%9A%CE%95%CE%A3%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%95%CE%A3/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91%20%CE%95%CE%98%CE%9D%CE%99%CE%9A%CE%A9%CE%9D%20%28%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%A9%CE%9D%29%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%A9%CE%9D/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_1989_06_18_1%CE%A4%CE%9F%CE%9C_%CE%A3%CE%A5%CE%93%CE%9A%CE%95%CE%9D%CE%A4%CE%A1%CE%A9%CE%A4%CE%99%CE%9A%CE%91/PDF/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_18061989_1%CE%A4%CE%9F%CE%9C_%CE%A3%CE%A5%CE%93%CE%9A%CE%95%CE%9D%CE%A4%CE%A1%CE%A9%CE%A4%CE%99%CE%9A%CE%91.pdf
16,Parliamentary,1985,,8008647.0,6422466.0,80.19,1586181.0,19.81,,,,,57372.0,0.89,PASOK,ΠΑΣΟΚ-ΚΙΝΑΛ,2916735.0,45.82,http://ekloges-info.ypes.gr/%CE%95%CE%98%CE%9D%CE%99%CE%9A%CE%95%CE%A3%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%95%CE%A3/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91%20%CE%95%CE%98%CE%9D%CE%99%CE%9A%CE%A9%CE%9D%20%28%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%A9%CE%9D%29%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%A9%CE%9D/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_1985_06_02/PDF/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_02061985.pdf
17,Parliamentary,1981,,7059778.0,5753478.0,81.5,1306300.0,18.5,,,,,82421.0,1.17,PASOK,ΠΑΣΟΚ-ΚΙΝΑΛ,2726309.0,48.07,http://ekloges-info.ypes.gr/%CE%95%CE%98%CE%9D%CE%99%CE%9A%CE%95%CE%A3%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%95%CE%A3/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91%20%CE%95%CE%98%CE%9D%CE%99%CE%9A%CE%A9%CE%9D%20%28%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%A9%CE%9D%29%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%A9%CE%9D/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_1981_10_18_1%CE%A4%CE%9F%CE%9C_%CE%A3%CE%A5%CE%93%CE%9A%CE%95%CE%9D%CE%A4%CE%A1%CE%A9%CE%A4%CE%99%CE%9A%CE%91/PDF/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_18101981_1%CE%A4%CE%9F%CE%9C_%CE%A3%CE%A5%CE%93%CE%9A%CE%95%CE%9D%CE%A4%CE%A1%CE%A9%CE%A4%CE%99%CE%9A%CE%91.pdf
18,Parliamentary,1977,,6403738.0,5193891.0,81.11,1209847.0,18.89,,,,,64117.0,1.23,New Democracy,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,2146365.0,41.84,http://ekloges-info.ypes.gr/%CE%95%CE%98%CE%9D%CE%99%CE%9A%CE%95%CE%A3%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%95%CE%A3/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91%20%CE%95%CE%98%CE%9D%CE%99%CE%9A%CE%A9%CE%9D%20%28%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%A9%CE%9D%29%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%A9%CE%9D/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_1977_11_20_1%CE%A4%CE%9F%CE%9C_%CE%A3%CE%A5%CE%93%CE%9A%CE%95%CE%9D%CE%A4%CE%A1%CE%A9%CE%A4%CE%99%CE%9A%CE%91/PDF/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_20111977_1%CE%A4%CE%9F%CE%9C_%CE%A3%CE%A5%CE%93%CE%9A%CE%95%CE%9D%CE%A4%CE%A1%CE%A9%CE%A4%CE%99%CE%9A%CE%91.pdf
19,Parliamentary,1974,,6241066.0,4963558.0,79.53,1277508.0,20.47,,,,,54584.0,1.1,New Democracy,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,2699133.0,54.37,http://ekloges-info.ypes.gr/%CE%95%CE%98%CE%9D%CE%99%CE%9A%CE%95%CE%A3%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%95%CE%A3/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91%20%CE%95%CE%98%CE%9D%CE%99%CE%9A%CE%A9%CE%9D%20%28%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%A9%CE%9D%29%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%A9%CE%9D/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_1974_11_17/PDF/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_17111974.pdf
20,EU Parliament,2024,,9814685.0,4062092.0,41.39,5752593.0,58.61,30714.0,0.76,55293.0,1.36,86007.0,2.12,New Democracy,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,1125602.0,28.31,https://ekloges.ypes.gr/current/e/home/parties/
21,EU Parliament,2019,,10088325.0,5920355.0,58.69,4167970.0,41.31,90455.0,1.53,173781.0,2.94,264236.0,4.47,New Democracy,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,1873137.0,33.12,http://ekloges-prev.singularlogic.eu/2019/e/home/parties/
