,Type of election,Year,Round,Registration (number of people),Total Vote  (number of people),Total Vote in %,Voter Abstention (number of people),Voter Abstention in %,Blank votes (number of people),Blank votes in %,Null votes (number of people),Null votes in %,Blank/Null votes (number of votes),Blank/Null votes in %,Political party winner (Latin),Political party winner,Political party winner - Nº of voters,Political party winner - % of voters,Source
22,EU Parliament,2014,,10013834.0,5941636.0,59.33,4072198.0,40.67,68557.0,1.15,157094.0,2.64,225651.0,3.79,SYRIZA,ΣΥΡΙΖΑ,1518376.0,26.56,"http://ekloges-prev.singularlogic.eu/may2014/e/public/index.html#{%22cls%22:%22level%22,%22params%22:{%22level%22:%22epik%22,%22id%22:1}}"
23,EU Parliament,2009,,10014795.0,5261749.0,52.54,4753046.0,47.46,60934.0,1.16,72919.0,1.39,133853.0,2.55,PASOK,ΠΑΣΟΚ-ΚΙΝΑΛ,1879229.0,36.65,http://ekloges-prev.singularlogic.eu/e2009/pages/index.html
24,EU Parliament,2004,,9909955.0,6283525.0,63.41,3626430.0,36.59,85663.0,1.363295284,75314.0,1.198594738,160977.0,2.56,New Democracy,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,2083327.0,43.01,http://ekloges-info.ypes.gr/%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%95%CE%A3%20%CE%93%CE%99%CE%91%20%CE%A4%CE%9F%20%CE%95%CE%A5%CE%A1%CE%A9%CE%A0%CE%91%CE%99%CE%9A%CE%9F%20%CE%9A%CE%9F%CE%99%CE%9D%CE%9F%CE%92%CE%9F%CE%A5%CE%9B%CE%99%CE%9F/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91%20%CE%95%CE%A5%CE%A1%CE%A9%CE%9A%CE%9B%CE%9F%CE%93%CE%A9%CE%9D/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%95%CE%A5%CE%A1%CE%A9%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_2004_06_13/PDF/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%95%CE%A5%CE%A1%CE%A9%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_13062004.pdf
25,EU Parliament,1999,,9388417.0,6711728.0,71.49,2676689.0,28.51,136828.0,2.038640422,147252.0,2.193950649,284080.0,4.23,New Democracy,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,2313265.0,35.99,http://ekloges-info.ypes.gr/%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%95%CE%A3%20%CE%93%CE%99%CE%91%20%CE%A4%CE%9F%20%CE%95%CE%A5%CE%A1%CE%A9%CE%A0%CE%91%CE%99%CE%9A%CE%9F%20%CE%9A%CE%9F%CE%99%CE%9D%CE%9F%CE%92%CE%9F%CE%A5%CE%9B%CE%99%CE%9F/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91%20%CE%95%CE%A5%CE%A1%CE%A9%CE%9A%CE%9B%CE%9F%CE%93%CE%A9%CE%9D/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%95%CE%A5%CE%A1%CE%A9%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_1999_06_13/PDF/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%95%CE%A5%CE%A1%CE%A9%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_13061999.pdf
26,EU Parliament,1994,,9297764.0,6804427.0,73.18,2493337.0,26.82,128187.0,1.883876482,143531.0,2.109376734,271718.0,3.99,PASOK,ΠΑΣΟΚ-ΚΙΝΑΛ,2459470.0,37.65,http://ekloges-info.ypes.gr/%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%95%CE%A3%20%CE%93%CE%99%CE%91%20%CE%A4%CE%9F%20%CE%95%CE%A5%CE%A1%CE%A9%CE%A0%CE%91%CE%99%CE%9A%CE%9F%20%CE%9A%CE%9F%CE%99%CE%9D%CE%9F%CE%92%CE%9F%CE%A5%CE%9B%CE%99%CE%9F/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91%20%CE%95%CE%A5%CE%A1%CE%A9%CE%9A%CE%9B%CE%9F%CE%93%CE%A9%CE%9D/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%95%CE%A5%CE%A1%CE%A9%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_1994_06_12/PDF/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%95%CE%A5%CE%A1%CE%A9%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_12061994.pdf
27,EU Parliament,1989,,8377904.0,6704752.0,80.03,1673152.0,19.97,18620.0,0.2777134784,104891.0,1.564427737,123511.0,1.84,New Democracy,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,2659435.0,40.41,http://ekloges-info.ypes.gr/%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%95%CE%A3%20%CE%93%CE%99%CE%91%20%CE%A4%CE%9F%20%CE%95%CE%A5%CE%A1%CE%A9%CE%A0%CE%91%CE%99%CE%9A%CE%9F%20%CE%9A%CE%9F%CE%99%CE%9D%CE%9F%CE%92%CE%9F%CE%A5%CE%9B%CE%99%CE%9F/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91%20%CE%95%CE%A5%CE%A1%CE%A9%CE%9A%CE%9B%CE%9F%CE%93%CE%A9%CE%9D/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%95%CE%A5%CE%A1%CE%A9%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_1989_06_18/PDF/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%95%CE%A5%CE%A1%CE%A9%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_18061989.pdf
28,EU Parliament,1984,,7460669.0,6012203.0,80.59,1448466.0,19.41,19426.0,0.3231095158,36189.0,0.6019257833,55615.0,0.93,PASOK,ΠΑΣΟΚ-ΚΙΝΑΛ,2477445.0,41.59,http://ekloges-info.ypes.gr/%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%95%CE%A3%20%CE%93%CE%99%CE%91%20%CE%A4%CE%9F%20%CE%95%CE%A5%CE%A1%CE%A9%CE%A0%CE%91%CE%99%CE%9A%CE%9F%20%CE%9A%CE%9F%CE%99%CE%9D%CE%9F%CE%92%CE%9F%CE%A5%CE%9B%CE%99%CE%9F/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91%20%CE%95%CE%A5%CE%A1%CE%A9%CE%9A%CE%9B%CE%9F%CE%93%CE%A9%CE%9D/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%95%CE%A5%CE%A1%CE%A9%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_1984_06_17/PDF/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%95%CE%A5%CE%A1%CE%A9%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_17061984.pdf
29,EU Parliament,1981,,7059778.0,5752344.0,81.48,1307434.0,18.52,,,,,74688.0,1.3,PASOK,ΠΑΣΟΚ-ΚΙΝΑΛ,2278030.0,40.12,http://ekloges-info.ypes.gr/%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%95%CE%A3%20%CE%93%CE%99%CE%91%20%CE%A4%CE%9F%20%CE%95%CE%A5%CE%A1%CE%A9%CE%A0%CE%91%CE%99%CE%9A%CE%9F%20%CE%9A%CE%9F%CE%99%CE%9D%CE%9F%CE%92%CE%9F%CE%A5%CE%9B%CE%99%CE%9F/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91%20%CE%95%CE%A5%CE%A1%CE%A9%CE%9A%CE%9B%CE%9F%CE%93%CE%A9%CE%9D/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%95%CE%A5%CE%A1%CE%A9%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_1981_10_18/PDF/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%95%CE%A5%CE%A1%CE%A9%CE%92%CE%9F%CE%A5%CE%9B%CE%95%CE%A5%CE%A4%CE%99%CE%9A%CE%95%CE%A3_18101981.pdf
30,Municipal,2023,2,3665614.0,1492214.0,40.71,2173400.0,59.29,29667.0,1.99,3103.0,2.08,38062.0,4.07,,,,,https://ekloges.ypes.gr/current/d/home/municipalities/
31,Municipal,2023,1,,,52.5,,47.5,,0.87,,2.01,,2.88,,,,,https://ekloges.ypes.gr/current/d/home/municipalities/
32,Municipal,2019,2,7943313.0,3560997.0,44.83,4382316.0,55.17,90829.0,2.55,65279.0,1.83,129949.0,4.38,,,,,http://ekloges-prev.singularlogic.eu/2019/d/home/municipalities/
33,Municipal,2019,1,9944106.0,5869139.0,59.02,4074967.0,40.98,78270.0,1.33,203549.0,3.47,238379.0,4.8,,,,,https://www.ypes.gr/archeia-apotelesmaton-dimotikon-eklogon-maioy-2019/#akiriaki
34,Municipal,2014,2,7951059.0,4783291.0,60.16,3167768.0,39.84,,,,,495613.0,10.36,,,,,http://ekloges-prev.singularlogic.eu/may2014/dn/public/index.html#{%22page%22:%22main%22} & https://www.eetaa.gr/ekloges/dhm_ekloges.php?ltr=ALL
35,Municipal,2014,1,9895356.0,6096897.0,61.61,3798459.0,38.39,,,,,236960.0,3.89,,,,,http://ekloges-prev.singularlogic.eu/may2014/dn/public/index.html#{%22page%22:%22main%22} & https://www.eetaa.gr/ekloges/dhm_ekloges.php?ltr=ALL & https://www.eetaa.gr/ekloges/dhm_ekloges.php?ltr=ALL
36,Municipal,2010,2,7829083.0,3856052.0,49.25,3973031.0,50.75,,,,,,7.65,,,,,https://ekloges-prev.singularlogic.eu/dn2010/public/index.html#{%22page%22:%22main%22}
37,Municipal,2010,1,9836724.0,6003007.0,61.03,3833717.0,38.97,,,,,,5.49,,,,,https://ekloges-prev.singularlogic.eu/dn2010/public/index.html#{%22page%22:%22main%22}
38,Municipal,2006,,9805943.0,6788386.0,69.23,3017557.0,30.77,,,,,376532.0,5.55,,,,,http://ekloges-prev.singularlogic.eu/2006static/default.htm
39,Municipal,2002,2,6496164.0,4509036.0,69.41,1987128.0,30.59,,,,,337734.0,7.49,,,,,https://wwwapp.eetaa.gr/ekloges/dhm_ekloges.php
40,Municipal,2002,1,9985803.0,7219850.0,72.3,2765953.0,27.7,,,,,354922.0,4.92,,,,,https://wwwapp.eetaa.gr/ekloges/dhm_ekloges.php
41,Municipal,1998,2,6142593.0,4255498.0,69.28,1887095.0,30.72,,,,,304410.0,7.15,,,,,https://wwwapp.eetaa.gr/ekloges/dhm_ekloges.php
42,Municipal,1998,1,9259210.0,6702970.0,72.39,2556240.0,27.61,,,,,404377.0,6.03,,,,,https://wwwapp.eetaa.gr/ekloges/dhm_ekloges.php
43,Municipal,1994,2,6681073.0,2454757.0,36.74,4226316.0,63.26,,,,,288216.0,11.74,,,,,https://wwwapp.eetaa.gr/ekloges/dhm_ekloges.php
44,Municipal,1994,1,8827334.0,6555156.0,74.26,2272178.0,25.74,,,,,382572.0,5.84,,,,,http://ekloges-info.ypes.gr/%CE%91%CE%A5%CE%A4%CE%9F%CE%94%CE%99%CE%9F%CE%99%CE%9A%CE%97%CE%A4%CE%99%CE%9A%CE%95%CE%A3%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%95%CE%A3/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91%20%CE%94%CE%97%CE%9C%CE%9F%CE%A4%CE%99%CE%9A%CE%A9%CE%9D%20%26%20%CE%9D%CE%9F%CE%9C%CE%91%CE%A1%CE%A7%CE%99%CE%91%CE%9A%CE%A9%CE%9D%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%A9%CE%9D/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%94%CE%97%CE%9C%CE%9F%CE%99_%CE%9A%CE%9F%CE%99%CE%9D%CE%9F%CE%A4%CE%97%CE%A4%CE%95%CE%A3_1994_10_16_%CE%95%CE%A0%CE%91%CE%9D%CE%91%CE%9B%CE%97%CE%A0%CE%A4%CE%99%CE%9A%CE%95%CE%A3_1994_10_23/PDF/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%94%CE%97%CE%9C%CE%9F%CE%99_%CE%9A%CE%9F%CE%99%CE%9D%CE%9F%CE%A4%CE%97%CE%A4%CE%95%CE%A3_16101994_%CE%95%CE%A0%CE%91%CE%9D%CE%91%CE%9B%CE%97%CE%A0%CE%A4%CE%99%CE%9A%CE%95%CE%A3_23101994.pdf
45,Municipal,1990,2,4787970.0,1372730.0,28.67,3415240.0,71.33,,,,,63712.0,4.64,,,,,https://wwwapp.eetaa.gr/ekloges/dhm_ekloges.php
46,Municipal,1990,1,8372268.0,6347792.0,75.82,2024476.0,24.18,,,,,189790.0,2.99,,,,,http://ekloges-info.ypes.gr/%CE%91%CE%A5%CE%A4%CE%9F%CE%94%CE%99%CE%9F%CE%99%CE%9A%CE%97%CE%A4%CE%99%CE%9A%CE%95%CE%A3%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%95%CE%A3/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91%20%CE%94%CE%97%CE%9C%CE%9F%CE%A4%CE%99%CE%9A%CE%A9%CE%9D%20%26%20%CE%9D%CE%9F%CE%9C%CE%91%CE%A1%CE%A7%CE%99%CE%91%CE%9A%CE%A9%CE%9D%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%A9%CE%9D/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%94%CE%97%CE%9C%CE%9F%CE%99_%CE%9A%CE%9F%CE%99%CE%9D%CE%9F%CE%A4%CE%97%CE%A4%CE%95%CE%A3_1990_10_14_%CE%95%CE%A0%CE%91%CE%9D%CE%91%CE%9B%CE%97%CE%A0%CE%A4%CE%99%CE%9A%CE%95%CE%A3_1990_10_21/PDF/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%94%CE%97%CE%9C%CE%9F%CE%99_%CE%9A%CE%9F%CE%99%CE%9D%CE%9F%CE%A4%CE%97%CE%A4%CE%95%CE%A3_14101990_%CE%95%CE%A0%CE%91%CE%9D%CE%91%CE%9B%CE%97%CE%A0%CE%A4%CE%99%CE%9A%CE%95%CE%A3_21101990.pdf
47,Municipal,1986,2,6460815.0,2701705.0,41.82,3759110.0,58.18,,,,,128591.0,4.76,,,,,https://wwwapp.eetaa.gr/ekloges/dhm_ekloges.php
48,Municipal,1986,1,8241449.0,6256947.0,75.92,1984502.0,24.08,,,,,117961.0,1.89,,,,,http://ekloges-info.ypes.gr/%CE%91%CE%A5%CE%A4%CE%9F%CE%94%CE%99%CE%9F%CE%99%CE%9A%CE%97%CE%A4%CE%99%CE%9A%CE%95%CE%A3%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%95%CE%A3/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91%20%CE%94%CE%97%CE%9C%CE%9F%CE%A4%CE%99%CE%9A%CE%A9%CE%9D%20%26%20%CE%9D%CE%9F%CE%9C%CE%91%CE%A1%CE%A7%CE%99%CE%91%CE%9A%CE%A9%CE%9D%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%A9%CE%9D/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%94%CE%97%CE%9C%CE%9F%CE%99_%CE%9A%CE%9F%CE%99%CE%9D%CE%9F%CE%A4%CE%97%CE%A4%CE%95%CE%A3_1986_10_12_%CE%95%CE%A0%CE%91%CE%9D%CE%91%CE%9B%CE%97%CE%A0%CE%A4%CE%99%CE%9A%CE%95%CE%A3_1986_10_19/PDF/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%94%CE%97%CE%9C%CE%9F%CE%99_%CE%9A%CE%9F%CE%99%CE%9D%CE%9F%CE%A4%CE%97%CE%A4%CE%95%CE%A3_12101986_%CE%95%CE%A0%CE%91%CE%9D%CE%91%CE%9B%CE%97%CE%A0%CE%A4%CE%99%CE%9A%CE%95%CE%A3_19101986.pdf
49,Municipal,1982,2,3607038.0,2000379.0,55.46,1606659.0,44.54,,,,,61243.0,3.06,,,,,https://wwwapp.eetaa.gr/ekloges/dhm_ekloges.php
50,Municipal,1982,1,7475090.0,5741272.0,76.81,1733818.0,23.19,,,,,88449.0,1.54,,,,,http://ekloges-info.ypes.gr/%CE%91%CE%A5%CE%A4%CE%9F%CE%94%CE%99%CE%9F%CE%99%CE%9A%CE%97%CE%A4%CE%99%CE%9A%CE%95%CE%A3%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%95%CE%A3/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91%20%CE%94%CE%97%CE%9C%CE%9F%CE%A4%CE%99%CE%9A%CE%A9%CE%9D%20%26%20%CE%9D%CE%9F%CE%9C%CE%91%CE%A1%CE%A7%CE%99%CE%91%CE%9A%CE%A9%CE%9D%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%A9%CE%9D/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%94%CE%97%CE%9C%CE%9F%CE%99_%CE%9A%CE%9F%CE%99%CE%9D%CE%9F%CE%A4%CE%97%CE%A4%CE%95%CE%A3_1982_10_17_%CE%95%CE%A0%CE%91%CE%9D%CE%91%CE%9B%CE%97%CE%A0%CE%A4%CE%99%CE%9A%CE%95%CE%A3_1982_10_24/PDF/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%94%CE%97%CE%9C%CE%9F%CE%99_%CE%9A%CE%9F%CE%99%CE%9D%CE%9F%CE%A4%CE%97%CE%A4%CE%95%CE%A3_17101982_%CE%95%CE%A0%CE%91%CE%9D%CE%91%CE%9B%CE%97%CE%A0%CE%A4%CE%99%CE%9A%CE%95%CE%A3_24101982.pdf
51,Municipal,1978,2,3162833.0,1445197.0,45.69,1717636.0,54.31,,,,,35042.0,2.42,,,,,https://wwwapp.eetaa.gr/ekloges/dhm_ekloges.php
52,Municipal,1978,1,6759827.0,4882605.0,72.23,1877222.0,27.77,,,,,79138.0,1.62,,,,,http://ekloges-info.ypes.gr/%CE%91%CE%A5%CE%A4%CE%9F%CE%94%CE%99%CE%9F%CE%99%CE%9A%CE%97%CE%A4%CE%99%CE%9A%CE%95%CE%A3%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%95%CE%A3/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91%20%CE%94%CE%97%CE%9C%CE%9F%CE%A4%CE%99%CE%9A%CE%A9%CE%9D%20%26%20%CE%9D%CE%9F%CE%9C%CE%91%CE%A1%CE%A7%CE%99%CE%91%CE%9A%CE%A9%CE%9D%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%A9%CE%9D/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%94%CE%97%CE%9C%CE%9F%CE%99_%CE%9A%CE%9F%CE%99%CE%9D%CE%9F%CE%A4%CE%97%CE%A4%CE%95%CE%A3_1978_10_15_%CE%95%CE%A0%CE%91%CE%9D%CE%91%CE%9B%CE%97%CE%A0%CE%A4%CE%99%CE%9A%CE%95%CE%A3_1978_10_22/PDF/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%94%CE%97%CE%9C%CE%9F%CE%99_%CE%9A%CE%9F%CE%99%CE%9D%CE%9F%CE%A4%CE%97%CE%A4%CE%95%CE%A3_15101978_%CE%95%CE%A0%CE%91%CE%9D%CE%91%CE%9B%CE%97%CE%A0%CE%A4%CE%99%CE%9A%CE%95%CE%A3_22101978.pdf
53,Municipal,1975,2,1487100.0,1098166.0,73.85,388934.0,26.15,,,,,43626.0,3.97,,,,,http://ekloges-info.ypes.gr/%CE%91%CE%A5%CE%A4%CE%9F%CE%94%CE%99%CE%9F%CE%99%CE%9A%CE%97%CE%A4%CE%99%CE%9A%CE%95%CE%A3%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%95%CE%A3/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91%20%CE%94%CE%97%CE%9C%CE%9F%CE%A4%CE%99%CE%9A%CE%A9%CE%9D%20%26%20%CE%9D%CE%9F%CE%9C%CE%91%CE%A1%CE%A7%CE%99%CE%91%CE%9A%CE%A9%CE%9D%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%A9%CE%9D/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%94%CE%97%CE%9C%CE%9F%CE%99_%CE%9A%CE%9F%CE%99%CE%9D%CE%9F%CE%A4%CE%97%CE%A4%CE%95%CE%A3_1975_03_30_%CE%95%CE%A0%CE%91%CE%9D%CE%91%CE%9B%CE%97%CE%A0%CE%A4%CE%99%CE%9A%CE%95%CE%A3_1975_04_06/PDF/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%94%CE%97%CE%9C%CE%9F%CE%99_%CE%9A%CE%9F%CE%99%CE%9D%CE%9F%CE%A4%CE%97%CE%A4%CE%95%CE%A3_30031975_%CE%95%CE%A0%CE%91%CE%9D%CE%91%CE%9B%CE%97%CE%A0%CE%A4%CE%99%CE%9A%CE%95%CE%A3_06041975.pdf
54,Municipal,1975,1,3274725.0,2471696.0,75.48,803029.0,24.52,,,,,45812.0,1.85,,,,,http://ekloges-info.ypes.gr/%CE%91%CE%A5%CE%A4%CE%9F%CE%94%CE%99%CE%9F%CE%99%CE%9A%CE%97%CE%A4%CE%99%CE%9A%CE%95%CE%A3%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%95%CE%A3/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91%20%CE%94%CE%97%CE%9C%CE%9F%CE%A4%CE%99%CE%9A%CE%A9%CE%9D%20%26%20%CE%9D%CE%9F%CE%9C%CE%91%CE%A1%CE%A7%CE%99%CE%91%CE%9A%CE%A9%CE%9D%20%CE%95%CE%9A%CE%9B%CE%9F%CE%93%CE%A9%CE%9D/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%94%CE%97%CE%9C%CE%9F%CE%99_%CE%9A%CE%9F%CE%99%CE%9D%CE%9F%CE%A4%CE%97%CE%A4%CE%95%CE%A3_1975_03_30_%CE%95%CE%A0%CE%91%CE%9D%CE%91%CE%9B%CE%97%CE%A0%CE%A4%CE%99%CE%9A%CE%95%CE%A3_1975_04_06/PDF/%CE%91%CE%A0%CE%9F%CE%A4%CE%95%CE%9B%CE%95%CE%A3%CE%9C%CE%91%CE%A4%CE%91_%CE%94%CE%97%CE%9C%CE%9F%CE%99_%CE%9A%CE%9F%CE%99%CE%9D%CE%9F%CE%A4%CE%97%CE%A4%CE%95%CE%A3_30031975_%CE%95%CE%A0%CE%91%CE%9D%CE%91%CE%9B%CE%97%CE%A0%CE%A4%CE%99%CE%9A%CE%95%CE%A3_06041975.pdf
