date,county_en,region,unleaded_95,unleaded_100,super,diesel_driving,autogas,diesel_home_heating
2022-01-01,RHODOPE,ΝΟΜΟΣ ΡΟΔΟΠΗΣ,1.752,1.907,,1.475,1.036,1.116
2022-01-01,SAMOS,ΝΟΜΟΣ ΣΑΜΟΥ,1.822,1.969,,1.521,1.097,1.203
2022-01-01,SERRES,ΝΟΜΟΣ ΣΕΡΡΩΝ,1.733,1.892,,1.452,1.015,1.096
2022-01-01,TRIKALA,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,1.727,1.898,,1.476,0.99,1.099
2022-01-01,FTHIOTIDA,ΝΟΜΟΣ ΦΘΙΩΤΙΔΟΣ,1.778,1.951,1.857,1.507,1.037,1.157
2022-01-01,FLORINA,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,1.731,1.905,,1.477,1.039,1.121
2022-01-01,FOKIDA,ΝΟΜΟΣ ΦΩΚΙΔΟΣ,1.802,1.92,,1.543,1.066,1.188
2022-01-01,CHALKIDIKI,ΝΟΜΟΣ ΧΑΛΚΙΔΙΚΗΣ,1.75,1.916,,1.484,1.013,1.121
2022-01-01,CHANIA,ΝΟΜΟΣ ΧΑΝΙΩΝ,1.788,1.929,,1.528,1.09,1.153
2022-01-01,CHIOS,ΝΟΜΟΣ ΧΙΟΥ,1.78,1.954,,1.481,1.179,1.135
2022-01-01,NATIONAL WEIGHTED AVERAGE,ΠΑΝΕΛΛΗΝΙΟΣ ΣΤΑΘΜΙΣΜΕΝΟΣ Μ.Ο.,1.746,1.91,1.494,1.481,0.994,1.128
2022-01-02,AITOLOAKARNANIA,ΝΟΜΟΣ ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ,1.774,1.955,,1.503,1.064,1.153
2022-01-02,ARGOLIDA,ΝΟΜΟΣ ΑΡΓΟΛΙΔΟΣ,1.734,1.897,,1.461,1.016,1.117
2022-01-02,ARCADIA,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,1.783,1.939,,1.51,1.021,1.139
2022-01-02,ARTA,ΝΟΜΟΣ ΑΡΤΗΣ,1.745,1.933,1.487,1.48,1.021,1.143
2022-01-02,ATTICA,ΝΟΜΟΣ ΑΤΤΙΚΗΣ,1.712,1.897,,1.449,0.94,1.103
2022-01-02,ACHAEA,ΝΟΜΟΣ ΑΧΑΪΑΣ,1.753,1.925,1.786,1.494,1.026,1.127
2022-01-02,BOEOTIA,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,1.744,1.929,,1.477,1.018,1.125
2022-01-02,GREVENA,ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ,1.774,1.936,,1.499,1.016,1.151
2022-01-02,DRAMA,ΝΟΜΟΣ ΔΡΑΜΑΣ,1.716,1.918,,1.447,0.988,1.096
2022-01-02,DODECANESE,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,1.894,2.009,,1.605,1.148,1.198
2022-01-02,EVROS,ΝΟΜΟΣ ΕΒΡΟΥ,1.753,1.93,,1.477,1.04,1.127
2022-01-02,EUBOEA,ΝΟΜΟΣ ΕΥΒΟΙΑΣ,1.771,1.926,1.489,1.502,1.0,1.13
2022-01-02,EVRYTANIA,ΝΟΜΟΣ ΕΥΡΥΤΑΝΙΑΣ,1.842,2.032,,1.582,1.055,1.186
2022-01-02,ZAKYNTHOS,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,1.782,1.937,,1.5,,1.143
2022-01-02,ELIS,ΝΟΜΟΣ ΗΛΕΙΑΣ,1.745,1.904,,1.48,0.996,1.135
2022-01-02,IMATHIA,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,1.718,1.9,,1.462,0.965,1.104
2022-01-02,HERAKLEION,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,1.802,1.919,,1.532,1.081,1.179
2022-01-02,THESPROTIA,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,1.757,1.952,,1.497,1.015,1.16
2022-01-02,THESSALONIKI,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,1.7,1.882,1.429,1.441,0.979,1.108
2022-01-02,IOANNINA,ΝΟΜΟΣ ΙΩΑΝΝΙΝΩΝ,1.751,1.905,,1.495,1.008,1.116
2022-01-02,KAVALA,ΝΟΜΟΣ ΚΑΒΑΛΑΣ,1.741,1.914,,1.48,1.023,1.125
2022-01-02,KARDITSA,ΝΟΜΟΣ ΚΑΡΔΙΤΣΗΣ,1.753,1.954,,1.481,1.004,1.13
2022-01-02,KASTORIA,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,1.769,1.924,,1.487,0.997,1.14
2022-01-02,CORFU (KERKYRA),ΝΟΜΟΣ ΚΕΡΚΥΡΑΣ,1.797,1.95,,1.544,1.135,1.183
2022-01-02,KEFALONIA,ΝΟΜΟΣ ΚΕΦΑΛΛΗΝΙΑΣ,1.817,1.98,,1.559,1.13,1.191
2022-01-02,KILKIS,ΝΟΜΟΣ ΚΙΛΚΙΣ,1.733,1.907,,1.472,1.03,1.133
2022-01-02,KOZANI,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,1.739,1.887,,1.472,1.003,1.115
2022-01-02,CORINTHOS,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,1.747,1.917,,1.478,1.007,1.111
2022-01-02,CYCLADES,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,1.979,2.105,,1.696,1.129,1.282
2022-01-02,LACONIA,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,1.774,1.929,,1.505,1.057,1.148
2022-01-02,LARISSA,ΝΟΜΟΣ ΛΑΡΙΣΗΣ,1.756,1.929,,1.485,1.003,1.132
2022-01-02,LASITHI,ΝΟΜΟΣ ΛΑΣΙΘΙΟΥ,1.809,1.95,,1.53,1.106,1.195
2022-01-02,LESBOS,ΝΟΜΟΣ ΛΕΣΒΟΥ,1.835,1.989,,1.57,1.088,1.274
2022-01-02,LEFKADA,ΝΟΜΟΣ ΛΕΥΚΑΔΟΣ,1.785,1.944,,1.502,1.031,1.147
