address,category,closed_from,closed_to,closed_to_date,district,formatted_add,lat,lng,municipality,notes,retrieval_date,school,school_code,search_coo,status,status_date,latest_update,level,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,status_match
ΨΑΡΩΝ 11,,2021-01-25,10-02-2021,2021-02-10,,"Psaron 11, Ag. Paraskevi 153 43, Greece",38.0160881,23.8243836,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,"Α2 (Α Τάξη), ΟΛΟΗΜΕΡΟ Α2 (Α Τάξη) από 25/1 έως και 7/2
ΟΛΟΗΜΕΡΟ Β (Β Τάξη), ΣΤ1 (ΣΤ Τάξη) από 28/1 έως και 10/2",2021-01-26,5ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ - ΧΕΛΜΕΙΟ,9051327.0,"5ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ - ΧΕΛΜΕΙΟ,ΨΑΡΩΝ 11,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ",Μερική αναστολή,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,,,,,,,,,,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,True
ΩΡΑΙΟΚΑΣΤΡΟΥ 139       ΣΤΑΥΡΟΥΠΟΛΗ,,2021-01-22,04-02-2021,2021-02-04,,"Pavlos Melas 564 30, Greece",40.6751966,22.9343653,ΠΑΥΛΟΥ ΜΕΛΑ,"ΑΓΓΛΙΚΑ Δ ΟΛΟΗΜΕΡΟΥ (Δ Τάξη), ΑΓΓΛΙΚΑ Δ1 (Δ Τάξη), ΑΓΓΛΙΚΑ Δ2 (Δ Τάξη), Δ1 (Δ Τάξη), Δ2 (Δ Τάξη), ΕΝΙΣΧΥΤΙΚΗ Δ1 (Δ Τάξη), ΕΝΙΣΧΥΤΙΚΗ Δ2 (Δ Τάξη), ΕΝΤΑΞΗΣ Δ1 (Δ Τάξη), ΕΝΤΑΞΗΣ Δ2 (Δ Τάξη), Ζ0*Δ2 (Δ Τάξη), Ζ1*Δ2 (Δ Τάξη), Ζ2*Δ2 (Δ Τάξη), ΠΡΩΙΝΗ Δ (Δ Τάξη), ΑΓΓΛΙΚΑ Ε2 (Ε Τάξη), Ε2 (Ε Τάξη), ΕΝΤΑΞΗΣ Ε2 (Ε Τάξη), Ζ0*Ε2 (Ε Τάξη), Ζ1*Ε2 (Ε Τάξη), Ζ2*Ε2 (Ε Τάξη) από 22/1 έως και 4/2",2021-01-26,8ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΤΑΥΡΟΥΠΟΛΗΣ,9190077.0,"8ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΤΑΥΡΟΥΠΟΛΗΣ,ΩΡΑΙΟΚΑΣΤΡΟΥ 139       ΣΤΑΥΡΟΥΠΟΛΗ,ΠΑΥΛΟΥ ΜΕΛΑ",Μερική αναστολή,2021-01-30 15:09:06.356336,2021-01-28,Δημοτικά,,,,,,,,,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,True
ΑΓΙΟΣ ΙΩΑΝΝΗΣ ΧΟΡΕΥΤΑΡΑΣ (ΓΑΛΙΛΑΙΟΣ),,2021-01-21,03-02-2021,2021-02-03,,"Patriarchoy Vartholooaioy 5 65, Megara 191 00, Greece",38.0003317,23.3317989,ΜΕΓΑΡΕΩΝ,"Β1 (Β Τάξη), Β1  ΑΓΓΛΙΚΑ (Β Τάξη), Γ1 (Γ Τάξη), Γ1  ΑΓΓΛΙΚΑ (Γ Τάξη) από 21/1 έως και 3/2",2021-01-26,6ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΓΑΡΩΝ,9050649.0,"6ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΓΑΡΩΝ,ΑΓΙΟΣ ΙΩΑΝΝΗΣ ΧΟΡΕΥΤΑΡΑΣ (ΓΑΛΙΛΑΙΟΣ),ΜΕΓΑΡΕΩΝ",Μερική αναστολή,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,,,,,,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,True
ΙΕΡΟΥ ΛΟΧΟΥ 9,,2021-01-22,04-02-2021,2021-02-04,,"Ierou Lochou 9, Metamorfosi 144 52, Greece",38.0650325,23.7676092,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,Ε1 ΓΑΛΛΙΚΑ (Ε Τάξη) από 22/1 έως και 4/2,2021-01-26,7ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΤΑΜΟΡΦΩΣΗΣ,9050681.0,"7ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΤΑΜΟΡΦΩΣΗΣ,ΙΕΡΟΥ ΛΟΧΟΥ 9,ΜΕΤΑΜΟΡΦΩΣΕΩΣ",Μερική αναστολή,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,,,,,,,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,True
ΤΣΑΚΑΣΙΑΝΟΥ 26,,2021-01-25,04-02-2021,2021-01-27,,"Tsakasianou 26, Athina 111 41, Greece",38.0159702,23.7418915,ΑΘΗΝΑΙΩΝ,ΠΡΩΙΝΟ ΤΜΗΜΑ 1 (ΠΡΟΝΗΠΙΑ-ΝΗΠΙΑ Τάξη) από 25/1 έως και 4/2,2021-01-26,3ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΘΗΝΩΝ,9050521.0,"3ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΘΗΝΩΝ,ΤΣΑΚΑΣΙΑΝΟΥ 26,ΑΘΗΝΑΙΩΝ",Μερική αναστολή,2021-01-30 15:09:06.356336,2021-01-28,Νηπιαγωγεία,,,,,,,,,,,,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,Επαναλειτουργία τμημάτων/τάξεων,False
ΛΙΛΙΠΟΥΠΟΛΗ - ΚΑΛΛΙΘΕΑ,,2021-01-25,05-02-2021,2021-02-05,,"Kallitheas, Kalamata 241 00, Greece",37.054131,22.1339199,ΚΑΛΑΜΑΤΑΣ,ΠΡΩΙΝΟ-1 (ΠΡΟΝΗΠΙΑ-ΝΗΠΙΑ Τάξη) από 25/1 έως και 5/2,2021-01-26,ΙΔΙΩΤΙΚΟ 2/ΘΕΣΙΟ ΝΗΠ/ΓΕΙΟ    ΛΙΛΙΠΟΥΠΟΛΗ  -  ΔΗΜ. ΒΑΣ. ΚΟΥΡΕΤΖΗ,7361009.0,"ΙΔΙΩΤΙΚΟ 2/ΘΕΣΙΟ ΝΗΠ/ΓΕΙΟ    ΛΙΛΙΠΟΥΠΟΛΗ  -  ΔΗΜ. ΒΑΣ. ΚΟΥΡΕΤΖΗ,ΛΙΛΙΠΟΥΠΟΛΗ - ΚΑΛΛΙΘΕΑ,ΚΑΛΑΜΑΤΑΣ",Μερική αναστολή,2021-01-30 15:09:06.356336,2021-01-30,Νηπιαγωγεία,,,,,,,,,,,,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,True
ΚΑΝΤΖΑ ΑΤΤΙΚΗΣ,,2021-01-25,05-02-2021,2021-02-05,,"Kantza Pallinis, Pallini 153 51, Greece",37.9784441,23.8653098,ΠΑΛΛΗΝΗΣ,ζ (ΣΤ Τάξη) από 25/1 έως και 5/2,2021-01-26,ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ - ΚΟΛΛΕΓΙΟ ΨΥΧΙΚΟΥ (ΛΑΤΣΕΙΟ),7521014.0,"ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ - ΚΟΛΛΕΓΙΟ ΨΥΧΙΚΟΥ (ΛΑΤΣΕΙΟ),ΚΑΝΤΖΑ ΑΤΤΙΚΗΣ,ΠΑΛΛΗΝΗΣ",Μερική αναστολή,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,,,,,,,,,,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,True
ΑΔΑΝΩΝ 17,,2021-01-25,03-02-2021,2021-02-03,,"Adanon 17, Athina 143 41, Greece",38.03832329999999,23.7404431,ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ - ΝΕΑΣ ΧΑΛΚΗΔΟΝAΣ,Β1 (Β Τάξη) από 25/1 έως και 3/2,2021-01-26,ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ ΝΕΑ ΦΙΛΑΔΈΛΦΕΙΑ - ΣΧΟΛΗ ΧΑΤΖΗΒΕΗ,7051016.0,"ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ ΝΕΑ ΦΙΛΑΔΈΛΦΕΙΑ - ΣΧΟΛΗ ΧΑΤΖΗΒΕΗ,ΑΔΑΝΩΝ 17,ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ - ΝΕΑΣ ΧΑΛΚΗΔΟΝAΣ",Μερική αναστολή,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,,,,,,,,,,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,True
ΕΚΠΑΙΔΕΥΤΗΡΙΑ ΚΩΣΤΕΑ-ΓΕΙΤΟΝΑ / CGS,,2021-01-25,05-02-2021,2021-02-05,,"Kato Viglas, Παλλήνη-Αττικής 153 51, Greece",38.013093,23.893554,ΠΑΛΛΗΝΗΣ,Ε5 (Ε Τάξη) από 25/1 έως και 5/2,2021-01-26,ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ ΠΑΛΛΗΝΗ - ΕΚΠΑΙΔΕΥΤΗΡΙΑ ΚΩΣΤΕΑ-ΓΕΙΤΟΝΑ Α.Ε.,7521016.0,"ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ ΠΑΛΛΗΝΗ - ΕΚΠΑΙΔΕΥΤΗΡΙΑ ΚΩΣΤΕΑ-ΓΕΙΤΟΝΑ Α.Ε.,ΕΚΠΑΙΔΕΥΤΗΡΙΑ ΚΩΣΤΕΑ-ΓΕΙΤΟΝΑ / CGS,ΠΑΛΛΗΝΗΣ",Μερική αναστολή,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,,,,,,,,,,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,True
ΓΙΑΝΝΙΤΣΟΠΟΥΛΟΥ 12,,2021-01-26,05-02-2021,2021-02-05,,"Giannitsopoulou 12, Glifada 166 74, Greece",37.8636918,23.7554116,ΓΛΥΦΑΔΑΣ,Ε2 (Ε Τάξη) από 26/1 έως και 5/2,2021-01-26,1ο  ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΛΥΦΑΔΑΣ,9050197.0,"1ο  ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΛΥΦΑΔΑΣ,ΓΙΑΝΝΙΤΣΟΠΟΥΛΟΥ 12,ΓΛΥΦΑΔΑΣ",Μερική αναστολή,2021-01-30 15:09:06.356336,2021-01-30,Δημοτικά,,,,,,,,,,,,,,,,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,Μερική αναστολή,True
