address,area,closed_to,date,formatted_add,label_info,lat,lng,notes,retrieval_date,school,search_coo,status,status_date
ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ 72,ΕΔΕΣΣΑΣ,13-11-2020,2020-11-13,"Konstantinoupoleos 72, Edessa 582 00, Greece",,40.8035485,22.0478147,,2020-11-06 16:49:54.648373,ΕΙΔΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ ΕΔΕΣΣΑΣ,"ΕΙΔΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ ΕΔΕΣΣΑΣ,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ 72,ΕΔΕΣΣΑΣ",Ολική αναστολή,2020-11-07
ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ 72,ΕΔΕΣΣΑΣ,13-11-2020,2020-11-13,"Konstantinoupoleos 72, Edessa 582 00, Greece",,40.8035485,22.0478147,,2020-11-06 16:49:54.648373,ΕΙΔΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΕΔΕΣΣΑΣ,"ΕΙΔΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΕΔΕΣΣΑΣ,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ 72,ΕΔΕΣΣΑΣ",Ολική αναστολή,2020-11-07
ΔΗΜΟΚΡΙΤΟΥ 27,ΞΑΝΘΗΣ,18-11-2020,2020-11-18,"Δημοκρίτου 27, Xanthi 671 00, Greece",Το Γ Κομμωτικης 2,41.1332404,24.8937995,Αναστέλλει τη λειτουργία του το Γ ΚΟΜΜΩΤΙΚΗΣ 2,2020-11-06 16:49:54.648373,2ο ΕΠΑΛ ΞΑΝΘΗΣ,"2ο ΕΠΑΛ ΞΑΝΘΗΣ,ΔΗΜΟΚΡΙΤΟΥ 27,ΞΑΝΘΗΣ",Μερική αναστολή,2020-11-07
ΤΕΡΜΑ ΑΓ.ΒΑΡΒΑΡΑΣ,ΑΛΜΥΡΟΥ,13-11-2020,2020-11-13,"Almiros 371 00, Greece",,39.176513899999996,22.756861800000003,,2020-11-06 16:49:54.648373,2ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΛΜΥΡΟΥ,"2ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΛΜΥΡΟΥ,ΤΕΡΜΑ ΑΓ.ΒΑΡΒΑΡΑΣ,ΑΛΜΥΡΟΥ",Ολική αναστολή,2020-11-07
ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ 58,ΚΟΡΥΔΑΛΛΟΥ,13-11-2020,2020-11-13,"Agiou Georgiou 58, Koridallos 181 20, Greece",Α1,37.9764332,23.6505641,Αναστέλλει τη λειτουργία το Α1,2020-11-06 16:49:54.648373,3ο ΓΥΜΝΑΣΙΟ ΚΟΡΥΔΑΛΛΟΥ,"3ο ΓΥΜΝΑΣΙΟ ΚΟΡΥΔΑΛΛΟΥ,ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ 58,ΚΟΡΥΔΑΛΛΟΥ",Μερική αναστολή,2020-11-07
ΤΕΡΜΑ ΗΡΑΚΛΕΙΑΝΟΥ,ΛΑΡΙΣΑΙΩΝ,17-11-2020,2020-11-17,"Iraklianou 38, Larisa 414 47, Greece",Τμήμα Α1 Εώς Και 13/11/2020 Και Το Α4 Έως Και 17/11/2020,39.63919629999999,22.4032557,Αναστέλλει τη λειτουργία του το τμήμα Α1 εώς και 13/11/2020 και το Α4 έως και 17/11/2020,2020-11-06 16:49:54.648373,10ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΛΑΡΙΣΑΣ,"10ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΛΑΡΙΣΑΣ,ΤΕΡΜΑ ΗΡΑΚΛΕΙΑΝΟΥ,ΛΑΡΙΣΑΙΩΝ",Μερική αναστολή,2020-11-07
"ΓΑΝΟΧΩΡΑ, ΚΑΤΕΡΙΝΗΣ",ΚΑΤΕΡΙΝΗΣ,12-11-2020,2020-11-12,"Epar.Od. Katerinis-Riakia 17, Ganochora 601 00, Greece",,40.308712,22.4980229,,2020-11-06 16:49:54.648373,ΕΙΔΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΤΕΡΙΝΗΣ,"ΕΙΔΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΤΕΡΙΝΗΣ,ΓΑΝΟΧΩΡΑ, ΚΑΤΕΡΙΝΗΣ,ΚΑΤΕΡΙΝΗΣ",Ολική αναστολή,2020-11-07
ΑΡΙΣΤΟΤΕΛΟΥΣ 2,ΚΑΤΕΡΙΝΗΣ,13-11-2020,2020-11-13,"Aristotelous 2, Katerini 601 00, Greece",Τα Ε1 & Ε2,40.2712759,22.5051977,Αναστέλλουν τη λειτουργία τους τα Ε1 & Ε2,2020-11-06 16:49:54.648373,4ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΤΕΡΙΝΗΣ,"4ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΤΕΡΙΝΗΣ,ΑΡΙΣΤΟΤΕΛΟΥΣ 2,ΚΑΤΕΡΙΝΗΣ",Μερική αναστολή,2020-11-07
ΜΑΡΑΘΩΝΟΣ 13,ΚΑΤΕΡΙΝΗΣ,14-11-2020,2020-11-14,"Marathonos 13, Katerini 601 00, Greece","Τα Β2 Έως Και 10/11/2020, Γ2 Έως Και 12/11/2020 Και Α2, Ε2, Στ1 &Στ2 Έως Και 14/11/2020",40.2664161,22.5055831,"Αναστέλλουν τη λειτουργία τους τα Β2 έως και 10/11/2020, Γ2 έως και 12/11/2020 και Α2, Ε2, ΣΤ1 &ΣΤ2 έως και 14/11/2020",2020-11-06 16:49:54.648373,3ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΤΕΡΙΝΗΣ,"3ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΤΕΡΙΝΗΣ,ΜΑΡΑΘΩΝΟΣ 13,ΚΑΤΕΡΙΝΗΣ",Μερική αναστολή,2020-11-07
1ου Λόχου Ταβουλάρη,ΠΥΛΑΙΑ ΘΕΣΣΑΛΟΝΙΚΗ,16-11-2020,2020-11-16,"Isminis 4, Pilea 555 35, Greece",Τα Α Εξαμηνο Ειδικοτητα Θρησκευτικος Τουρισμος Και Προσκυνηματικες Περιηγησεις Εώς Και 11/11/ 2020 Και Γ Εξαμηνο Στελεχος Υπηρεσιων Αερομεταφορας,40.5939553,22.9834496,Αναστέλλουν τη λειτουργία τους τα Α ΕΞΑΜΗΝΟ ΕΙΔΙΚΟΤΗΤΑ ΘΡΗΣΚΕΥΤΙΚΟΣ ΤΟΥΡΙΣΜΟΣ ΚΑΙ ΠΡΟΣΚΥΝΗΜΑΤΙΚΕΣ ΠΕΡΙΗΓΗΣΕΙΣ εώς και 11/11/ 2020 και Γ ΕΞΑΜΗΝΟ ΣΤΕΛΕΧΟΣ ΥΠΗΡΕΣΙΩΝ ΑΕΡΟΜΕΤΑΦΟΡΑΣ,2020-11-06 16:49:54.648373,ΙΕΚ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,"ΙΕΚ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,1ου Λόχου Ταβουλάρη,ΠΥΛΑΙΑ ΘΕΣΣΑΛΟΝΙΚΗ",Μερική αναστολή,2020-11-07
ΑΓΙΑΣ ΜΑΡΙΝΗΣ 21,ΑΣΠΡΟΠΥΡΓΟΥ,11-11-2020,2020-11-11,"Agias Marinas 21, Aspropirgos 193 00, Greece",Τμήματα Γ7 & Γοπ1 Γ Ταξη,38.0624563,23.58278,Αναστέλλουν τη λειτουργία τους τα τμήματα Γ7 & ΓΟΠ1 Γ ΤΑΞΗΣ,2020-11-05 13:02:00.084121,1ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΑΣΠΡΟΠΥΡΓΟΥ,"1ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΑΣΠΡΟΠΥΡΓΟΥ,ΑΓΙΑΣ ΜΑΡΙΝΗΣ 21,ΑΣΠΡΟΠΥΡΓΟΥ",Μερική αναστολή,2020-11-07
"Δράκοντος 4, Aκαδημία Πλάτωνος,  Αθήνα",ΑΘΗΝΑΙΩΝ,09-11-2020,2020-11-09,"Nik. Chatziapostolou 74, Athina 104 43, Greece",Το Α Εξαμηνο Στελεχος Μηχανογραφημενου Λογιστηριου-Φοροτεχνικου Γραφειου,38.00411500000001,23.7123409,Αναστέλλει τη λειτουργία του το Α ΕΞΑΜΗΝΟ ΣΤΕΛΕΧΟΣ ΜΗΧΑΝΟΓΡΑΦΗΜΕΝΟΥ ΛΟΓΙΣΤΗΡΙΟΥ-ΦΟΡΟΤΕΧΝΙΚΟΥ ΓΡΑΦΕΙΟΥ,2020-11-05 13:02:00.084121,ΙΕΚ ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,"ΙΕΚ ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,Δράκοντος 4, Aκαδημία Πλάτωνος,  Αθήνα,ΑΘΗΝΑΙΩΝ",Μερική αναστολή,2020-11-07
"3ο Εν. Λύκειο, Πατρών & Κορίνθου",ΚΗΦΙΣΙΑΣ,16-11-2020,2020-11-16,"Geor. Lira 140, Kifisia 145 64, Greece",Το Α2 Τεχνη Φωτογραφιας,38.0955353,23.8091207,Αναστέλλει τη λειτουργία του το Α2 ΤΕΧΝΗ ΦΩΤΟΓΡΑΦΙΑΣ,2020-11-05 13:02:00.084121,ΙΕΚ ΚΗΦΙΣΙΑΣ,"ΙΕΚ ΚΗΦΙΣΙΑΣ,3ο Εν. Λύκειο, Πατρών & Κορίνθου,ΚΗΦΙΣΙΑΣ",Μερική αναστολή,2020-11-07
ΜΟΥΣΩΝ ΚΑΙ ΠΑΠΑΔΙΑΜΑΝΤΗ 1,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,15-11-2020,2020-11-15,"Mouson ke Papadiamanti, Filothei Psichiko 154 52, Greece",Τα  Α3-Ομαδα 1 & Α4-Ομαδα 2 ,38.001197,23.7668156,Αναστέλλουν τη λειτουργία τους τα  Α3-ΟΜΑΔΑ 1 & Α4-ΟΜΑΔΑ 2 ,2020-11-05 13:02:00.084121,ΒΑΡΒΑΚΕΙΟ ΠΡΟΤΥΠΟ ΓΥΜΝΑΣΙΟ,"ΒΑΡΒΑΚΕΙΟ ΠΡΟΤΥΠΟ ΓΥΜΝΑΣΙΟ,ΜΟΥΣΩΝ ΚΑΙ ΠΑΠΑΔΙΑΜΑΝΤΗ 1,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ",Μερική αναστολή,2020-11-07
Μ. ΑΛΕΞΑΝΔΡΟΥ 112,ΠΕΛΛΑΣ,13-11-2020,2020-11-13,"Meg. Alexandrou 112, Giannitsa 581 00, Greece",,40.7917192,22.41934280000001,,2020-11-04 17:15:43.710711,ΕΙΔΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΙΑΝΝΙΤΣΩΝ,"ΕΙΔΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΙΑΝΝΙΤΣΩΝ,Μ. ΑΛΕΞΑΝΔΡΟΥ 112,ΠΕΛΛΑΣ",Ολική αναστολή,2020-11-07
Μ. ΑΛΕΞΑΝΔΡΟΥ 112,ΠΕΛΛΑΣ,13-11-2020,2020-11-13,"Meg. Alexandrou 112, Giannitsa 581 00, Greece",,40.7917192,22.41934280000001,,2020-11-04 17:15:43.710711,ΝΗΠΙΑΓΩΓΕΙΟ ΓΙΑΝΝΙΤΣΩΝ ΕΙΔΙΚΟ ,"ΝΗΠΙΑΓΩΓΕΙΟ ΓΙΑΝΝΙΤΣΩΝ ΕΙΔΙΚΟ ,Μ. ΑΛΕΞΑΝΔΡΟΥ 112,ΠΕΛΛΑΣ",Ολική αναστολή,2020-11-07
ΓΚΟΝΟΥ ΓΙΩΤΑ 40,ΠΕΛΛΑΣ,13-11-2020,2020-11-13,"Giota Gkonou, Giannitsa 581 00, Greece",Το Α1,40.7948318,22.4102948,Αναστέλλει τη λειτουργία του το Α1,2020-11-04 17:15:43.710711,1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΙΑΝΝΙΤΣΩΝ,"1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΙΑΝΝΙΤΣΩΝ,ΓΚΟΝΟΥ ΓΙΩΤΑ 40,ΠΕΛΛΑΣ",Μερική αναστολή,2020-11-07
ΑΘ.ΟΙΚΟΝΟΜΟΥ 1,ΠΕΛΛΑΣ,13-11-2020,2020-11-13,"Athanasiou Ikonomou 2-12, Giannitsa 581 00, Greece",Το Δ3,40.795119299999996,22.4176081,Αναστέλλει τη λειτουργία του το Δ3,2020-11-04 17:15:43.710711,"2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΙΑΝΝΙΤΣΩΝ ""ΑΛΕΞΑΝΔΡΕΙΟ""","2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΙΑΝΝΙΤΣΩΝ ""ΑΛΕΞΑΝΔΡΕΙΟ"",ΑΘ.ΟΙΚΟΝΟΜΟΥ 1,ΠΕΛΛΑΣ",Μερική αναστολή,2020-11-07
ΡΙΖΑΡΕΙΟΥ 22,ΧΑΛΑΝΔΡΙΟΥ,13-11-2020,2020-11-13,"Rizariou 22, Chalandri 152 33, Greece",Το Β Οικονομικων 1,38.0315375,23.79566830000001,Αναστέλλει τη λειτουργία του το Β ΟΙΚΟΝΟΜΙΚΩΝ 1,2020-11-04 17:15:43.710711,3ο ΕΠΑΛ ΧΑΛΑΝΔΡΙΟΥ,"3ο ΕΠΑΛ ΧΑΛΑΝΔΡΙΟΥ,ΡΙΖΑΡΕΙΟΥ 22,ΧΑΛΑΝΔΡΙΟΥ",Μερική αναστολή,2020-11-07
ΣΤΕΦΑΝΟΥ ΔΕΛΤΑ 15,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,17-11-2020,2020-11-17,"Stefanou Delta 15, Psichiko 154 52, Greece",Το Γ1,38.018795000000004,23.7808113,Αναστέλλει τη λειτουργία του το Γ1,2020-11-04 17:15:43.710711,ΙΔΙΩΤΙΚΟ-ΙΣΟΤΙΜΟ ΓΥΜΝΑΣΙΟ-ΚΟΛΛΕΓΙΟ ΑΘΗΝΩΝ,"ΙΔΙΩΤΙΚΟ-ΙΣΟΤΙΜΟ ΓΥΜΝΑΣΙΟ-ΚΟΛΛΕΓΙΟ ΑΘΗΝΩΝ,ΣΤΕΦΑΝΟΥ ΔΕΛΤΑ 15,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ",Μερική αναστολή,2020-11-07
ΠΡΟΥΣΣΗΣ ΚΑΙ ΔΗΜΟΚΡΑΤΙΑΣ,ΔΑΦΝΗΣ - ΥΜΗΤΤΟΥ,12-11-2020,2020-11-12,"&, Λεωφ. Δημοκρατίας και Προύσης, Imittos 172 36, Greece",Το Α4,37.9476814,23.7486001,Αναστέλλει τη λειτουργία της το Α4,2020-11-04 17:15:43.710711,1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΥΜΗΤΤΟΥ,"1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΥΜΗΤΤΟΥ,ΠΡΟΥΣΣΗΣ ΚΑΙ ΔΗΜΟΚΡΑΤΙΑΣ,ΔΑΦΝΗΣ - ΥΜΗΤΤΟΥ",Μερική αναστολή,2020-11-07
Χρυσοστόμου Σμύρνης 10,ΚΑΒΑΛΑΣ,13-11-2020,2020-11-13,"Chrisostomou Smirnis 10, Kavala 654 03, Greece",Το Α2 Λυκειου,40.935584999999996,24.3983395,Αναστέλλει τη λειτουργία του το Α2 ΛΥΚΕΙΟΥ,2020-11-04 17:15:43.710711,ΜΟΥΣΙΚΟ ΓΥΜΝΑΣΙΟ ΚΑΒΑΛΑΣ ΜΕ ΛΥΚΕΙΑΚΕΣ ΤΑΞΕΙΣ,"ΜΟΥΣΙΚΟ ΓΥΜΝΑΣΙΟ ΚΑΒΑΛΑΣ ΜΕ ΛΥΚΕΙΑΚΕΣ ΤΑΞΕΙΣ,Χρυσοστόμου Σμύρνης 10,ΚΑΒΑΛΑΣ",Μερική αναστολή,2020-11-07
ΚΥΒΕΛΗΣ 19,ΑΛΙΜΟΥ,09-11-2020,2020-11-09,"Kivelis 19, Alimos 174 56, Greece",Το Στ3,37.914621200000006,23.7356189,Αναστέλλει τη λειτουργία του το ΣΤ3,2020-11-04 17:15:43.710711,ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ ΔΕΛΑΣΑΛ,"ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ ΔΕΛΑΣΑΛ,ΚΥΒΕΛΗΣ 19,ΑΛΙΜΟΥ",Μερική αναστολή,2020-11-07
ΑΓΙΟΥ ΧΡΥΣΟΣΤΟΜΟΥ 1,ΔΡΑΜΑΣ,16-11-2020,2020-11-16,"Agiou Chrisostomou 1, Drama 661 00, Greece",,41.1526346,24.1386874,,2020-11-04 17:15:43.710711,17ο ΝΗΠΙΑΓΩΓΕΙΟ ΔΡΑΜΑΣ,"17ο ΝΗΠΙΑΓΩΓΕΙΟ ΔΡΑΜΑΣ,ΑΓΙΟΥ ΧΡΥΣΟΣΤΟΜΟΥ 1,ΔΡΑΜΑΣ",Ολική αναστολή,2020-11-07
ΚΟΛΟΚΥΘΑ 31,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,13-11-2020,2020-11-13,"Terpsitheas, Ag. Varvara 123 51, Greece",Το Στ1,37.986358100000004,23.6616788,Αναστέλλει τη λειτουργία του το ΣΤ1,2020-11-04 17:15:43.710711,6ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,"6ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,ΚΟΛΟΚΥΘΑ 31,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ",Μερική αναστολή,2020-11-07
Ν. ΖΕΚΑΚΟΥ 3,ΑΜΑΡΟΥΣΙΟΥ,13-11-2020,2020-11-13,"Nik. Zekakou 3, Marousi 151 25, Greece",Τα Γ3 & Γ1 Γαλλικων Έως Και. 10/11/2020 Και Τα Γ2 & Γ1 Γερμανικων Έως Και 13/11/2020,38.0400268,23.815186899999997,Αναστέλλουν τη λειτουργία τους τα Γ3 & Γ1 ΓΑΛΛΙΚΩΝ έως και. 10/11/2020 και τα Γ2 & Γ1 ΓΕΡΜΑΝΙΚΩΝ έως και 13/11/2020,2020-11-04 17:15:43.710711,4ο ΓΥΜΝΑΣΙΟ ΑΜΑΡΟΥΣΙΟΥ,"4ο ΓΥΜΝΑΣΙΟ ΑΜΑΡΟΥΣΙΟΥ,Ν. ΖΕΚΑΚΟΥ 3,ΑΜΑΡΟΥΣΙΟΥ",Μερική αναστολή,2020-11-07
Γ. ΜΑΡΑΝΤΗ,ΗΡΑΚΛΕΙΟΥ,13-11-2020,2020-11-13,"Geor. Maranti 59, Iraklio 713 03, Greece",Το Α2 Έως Και 6/11/2020 Και Τα Γ4 & Γ Υγειας Έως Και 13/11/2020,35.3339525,25.1104354,Αναστέλλουν τη λειτουργία τους το Α2 έως και 6/11/2020 και τα Γ4 & Γ ΥΓΕΙΑΣ έως και 13/11/2020,2020-11-04 17:15:43.710711,7ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΗΡΑΚΛΕΙΟΥ,"7ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΗΡΑΚΛΕΙΟΥ,Γ. ΜΑΡΑΝΤΗ,ΗΡΑΚΛΕΙΟΥ",Μερική αναστολή,2020-11-07
ΣΕΡΙΦΟΥ ΚΑΙ ΞΑΝΘΗΣ 1,ΑΙΓΑΛΕΩ,10-11-2020,2020-11-10,"Serifou 27, Egaleo 122 43, Greece",Τμήμα 2,38.0006263,23.6698108,Αναστέλλει τη λειτουργία του το τμήμα 2,2020-11-04 17:15:43.710711,22ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΙΓΑΛΕΩ,"22ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΙΓΑΛΕΩ,ΣΕΡΙΦΟΥ ΚΑΙ ΞΑΝΘΗΣ 1,ΑΙΓΑΛΕΩ",Μερική αναστολή,2020-11-07
ΠΕΝΤΑΠΛΑΤΑΝΟΣ,ΠΕΛΛΑΣ,12-11-2020,2020-11-12,"Provincial Road Goumenissa-Giannitsa, Giannitsa 581 00, Greece",Το Β Οικονομιας,40.80965120000001,22.418699,Αναστέλλει τη λειτουργία του το Β ΟΙΚΟΝΟΜΙΑΣ,2020-11-04 17:15:43.710711,1ο ΕΠΑΛ ΓΙΑΝΝΙΤΣΩΝ,"1ο ΕΠΑΛ ΓΙΑΝΝΙΤΣΩΝ,ΠΕΝΤΑΠΛΑΤΑΝΟΣ,ΠΕΛΛΑΣ",Μερική αναστολή,2020-11-07
ΓΥΜΝΑΣΙΑΡΧΟΥ ΣΤΡΑΤΗ ΜΑΥΡΑΓΑΝΗ 20,ΛΕΣΒΟΥ,17-11-2020,2020-11-17,"Plomari 812 00, Greece",Τα Β1 & Β2,38.9763297,26.375502299999997,Αναστέλλουν τη λειτουργία τους τα Β1 & Β2,2020-11-04 17:15:43.710711,ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΠΛΩΜΑΡΙΟΥ ΛΕΣΒΟΥ,"ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΠΛΩΜΑΡΙΟΥ ΛΕΣΒΟΥ,ΓΥΜΝΑΣΙΑΡΧΟΥ ΣΤΡΑΤΗ ΜΑΥΡΑΓΑΝΗ 20,ΛΕΣΒΟΥ",Μερική αναστολή,2020-11-07
1o χλμ. ΑΡΙΔΑΙΑΣ ΕΞΑΠΛΑΤΑΝΟΥ,ΑΛΜΩΠΙΑΣ,13-11-2020,2020-11-13,"Aridaia 584 00, Greece",Τα Γ2 & Γ1 Ανθρωπιστικων Σπουδων,40.97524620000001,22.066156399999997,Αναστέλλουν τη λειτουργία τους τα Γ2 & Γ1 ΑΝΘΡΩΠΙΣΤΙΚΩΝ ΣΠΟΥΔΩΝ,2020-11-04 17:15:43.710711,ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΑΡΙΔΑΙΑΣ ΠΕΛΛΑΣ,"ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΑΡΙΔΑΙΑΣ ΠΕΛΛΑΣ,1o χλμ. ΑΡΙΔΑΙΑΣ ΕΞΑΠΛΑΤΑΝΟΥ,ΑΛΜΩΠΙΑΣ",Μερική αναστολή,2020-11-07
ΕΘΝ. ΑΝΤΙΣΤΑΣΗΣ 118,ΚΑΙΣΑΡΙΑΝΗΣ,12-11-2020,2020-11-12,"Dervenakion 9, Kesariani 161 22, Greece",Τμήμα Α,37.9642526,23.7655264,Αναστέλλει τη λειτουργία του το τμήμα Α,2020-11-04 17:15:43.710711,2ο ΝΗΠΙΑΓΩΓΕΙΟ ΚΑΙΣΑΡΙΑΝΗΣ,"2ο ΝΗΠΙΑΓΩΓΕΙΟ ΚΑΙΣΑΡΙΑΝΗΣ,ΕΘΝ. ΑΝΤΙΣΤΑΣΗΣ 118,ΚΑΙΣΑΡΙΑΝΗΣ",Μερική αναστολή,2020-11-07
ΠΟΝΤΟΥ ΚΑΙ ΑΓ. ΘΩΜΑ,ΑΘΗΝΑΙΩΝ,12-11-2020,2020-11-12,"Pontou & Agiou Thoma, Athina 115 27, Greece",Τμήμα 1,37.9833914,23.7646879,Αναστέλλει τη λειτουργία του το τμήμα 1,2020-11-04 17:15:43.710711,12ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΘΗΝΑΣ,"12ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΘΗΝΑΣ,ΠΟΝΤΟΥ ΚΑΙ ΑΓ. ΘΩΜΑ,ΑΘΗΝΑΙΩΝ",Μερική αναστολή,2020-11-07
ΜΑΧΗΣ ΑΝΑΛΑΤΟΥ 70,ΑΘΗΝΑΙΩΝ,15-11-2020,2020-11-15,"Machis Analatou 70, Athina 117 45, Greece",Τα 2 & Ολοημερο 2,37.95296629999999,23.721859,Αναστέλλουν τη λειτουργία τους τα 2 & ΟΛΟΗΜΕΡΟ 2,2020-11-04 17:15:43.710711,56ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΘΗΝΑΣ,"56ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΘΗΝΑΣ,ΜΑΧΗΣ ΑΝΑΛΑΤΟΥ 70,ΑΘΗΝΑΙΩΝ",Μερική αναστολή,2020-11-07
Θ. ΣΟΦΟΥΛΗ  2,ΝΕΑΣ ΣΜΥΡΝΗΣ,13-11-2020,2020-11-13,"Themistokli Sofouli 2, Nea Smirni 171 22, Greece","Τμήματα Β5, Γαλλικων Β2 & Προσανατολισμου Ιατρικο Β2",37.9442898,23.705938600000003,"Αναστέλλουν τη λειτουργία τους τα τμήματα Β5, ΓΑΛΛΙΚΩΝ Β2 & ΠΡΟΣΑΝΑΤΟΛΙΣΜΟΥ ΙΑΤΡΙΚΟ Β2",2020-11-04 17:15:43.710711,"ΙΔΙΩΤΙΚΟ ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ""ΛΕΟΝΤΕΙΟ ΛΥΚΕΙΟ ΝΕΑΣ ΣΜΥΡΝΗΣ""","ΙΔΙΩΤΙΚΟ ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ""ΛΕΟΝΤΕΙΟ ΛΥΚΕΙΟ ΝΕΑΣ ΣΜΥΡΝΗΣ"",Θ. ΣΟΦΟΥΛΗ  2,ΝΕΑΣ ΣΜΥΡΝΗΣ",Μερική αναστολή,2020-11-07
ΑΡΣΑΚΗ 1,[Άγνωστη πόλη],16-11-2020,2020-11-16,"154 52, Arsaki 1, Psichiko 154 52, Greece",Τα  Γ1 & Γ Αγγλικων (Κοψαχειλη) Έως Και 6/11/2020 Και Τα Αα Αγγλικων (Τμημα Κ Δημουλα) & Αα Γερμανικων (Τμημα Κ Παπασταθοπουλου) Έως Και 16/11/2020,38.014452500000004,23.7776434,Αναστέλλουν τη λειτουργία τους τα  Γ1 & Γ ΑΓΓΛΙΚΩΝ (ΚΟΨΑΧΕΙΛΗ) έως και 6/11/2020 και τα Αα ΑΓΓΛΙΚΩΝ (ΤΜΗΜΑ κ ΔΗΜΟΥΛΑ) & Αα ΓΕΡΜΑΝΙΚΩΝ (ΤΜΗΜΑ κ ΠΑΠΑΣΤΑΘΟΠΟΥΛΟΥ) έως και 16/11/2020,2020-11-04 17:15:43.710711,ΙΔΙΩΤΙΚΟ – ΙΣΟΤΙΜΟ ΛΥΚΕΙΟ - Α΄ ΑΡΣΑΚΕΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΨΥΧΙΚΟΥ,"ΙΔΙΩΤΙΚΟ – ΙΣΟΤΙΜΟ ΛΥΚΕΙΟ - Α΄ ΑΡΣΑΚΕΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΨΥΧΙΚΟΥ,ΑΡΣΑΚΗ 1,[Άγνωστη πόλη]",Μερική αναστολή,2020-11-07
