Name,TotalCases,Continent,NewCases 2,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population (2020),Med. Age,testing_mean_diff_pct,cases_rate_normalized,cases_rate_mean_diff_pct
Mayotte,184,Africa,,2,,22,160,3,674,7,1100,4032,272815,20,-44.64,16.72,54.36
Faeroe Islands,184,Europe,,,,136,48,,3766,,5299,108446,48863,,1389,3.47,-67.97
DRC,180,Africa,,18,,9,153,,2,0.2,,,89561403,17,,,
Isle of Man,171,Europe,13,1,,88,82,10,2011,12,1831,21533,85033,,195.65,9.34,-13.77
Venezuela,167,South America,,9,,65,93,6,6,0.3,1779,63,28435940,30,-99.13,9.52,-12.11
Guinea,164,Africa,,,,5,159,,12,,,,13132795,18,,,
Martinique,154,North America,,6,,50,98,19,410,16,,,375265,47,,,
Guadeloupe,141,North America,,8,,43,90,13,352,20,,,400124,44,,,
Brunei,135,Asia,,1,,92,42,3,309,2,8985,20538,437479,32,181.99,1.5,-86.15
Djibouti,135,Africa,,,,25,110,,137,,3106,3144,988000,27,-56.83,4.36,-59.75
Paraguay,124,South America,5,5,,18,101,1,17,0.7,2039,286,7132538,26,-96.07,5.94,-45.16
Gibraltar,120,Europe,,,,60,60,,3562,,1481,43958,33691,,503.56,8.1,-25.22
Cambodia,119,Asia,2,,,63,56,1,7,,5768,345,16718965,26,-95.26,2.03,-81.26
Rwanda,110,Africa,,,,7,103,,8,,806,62,12952218,20,-99.15,12.9,19.09
Trinidad and Tobago,107,North America,,8,,1,98,,76,6,974,696,1399488,36,-90.44,10.92,0.81
El Salvador,103,North America,10,5,,10,88,3,16,0.8,,,6486205,28,,,
Madagascar,93,Africa,,,,11,82,1,3,,,,27691018,20,,,
Guatemala,87,North America,,3,,17,67,3,5,0.2,1134,63,17915568,23,-99.13,7.94,-26.7
French Guiana,83,South America,,,,43,40,1,278,,,,298682,25,,,
Monaco,81,Europe,,1,,4,76,4,2064,25,,,39242,,,,
Liechtenstein,78,Europe,,1,,55,22,,2046,26,900,23605,38128,,224.1,8.67,-19.96
Aruba,77,North America,,,,14,63,,721,,990,9273,106766,41,27.32,7.78,-28.18
Togo,73,Africa,3,3,,24,46,,9,0.4,1747,211,8278724,19,-97.1,4.27,-60.58
Jamaica,63,North America,,4,,10,49,,21,1,907,306,2961167,31,-95.8,6.86,-36.67
Barbados,63,North America,,3,,8,52,4,219,10,655,2279,287375,40,-68.71,9.61,-11.28
Congo,60,Africa,15,5,,5,50,,11,0.9,,,5518087,19,,,
Mali,59,Africa,,7,,16,36,,3,0.3,,,20250833,16,,,
Ethiopia,56,Africa,1,2,,4,50,2,0.5,0.02,2790,24,114963588,19,-99.67,2.08,-80.8
Uganda,53,Africa,,,,,53,,1,,3310,72,45741007,17,-99.01,1.39,-87.17
French Polynesia,51,Australia/Oceania,,,,,51,,182,,744,2649,280908,34,-63.63,6.87,-36.58
Cayman Islands,45,North America,,1,,6,38,,685,15,479,7288,65722,,0.07,9.4,-13.22
Macao,45,Asia,,,,10,35,1,69,,,,649335,39,,,
Sint Maarten,43,North America,3,6,,1,36,2,1003,140,112,2612,42876,,-64.14,38.4,254.5
Bahamas,40,North America,,7,,5,28,1,102,18,,,393244,32,,,
Bermuda,39,North America,,3,,23,13,,626,48,315,5058,62278,,-30.55,12.38,14.29
Zambia,39,Africa,,1,,7,31,1,2,0.05,1239,67,18383955,18,-99.08,2.99,-72.4
Guyana,37,South America,,6,,8,23,4,47,8,145,184,786552,27,-97.47,25.54,135.78
Gabon,34,Africa,,1,,1,32,,15,0.4,,,2225734,23,,,
Eritrea,33,Africa,,,,,33,,9,,,,3546421,19,,,
Guinea-Bissau,33,Africa,,,,,33,,17,,,,1968001,19,,,
Saint Martin,32,North America,,2,,7,23,6,828,52,,,38666,,,,
Liberia,31,Africa,,4,,3,24,,6,0.8,,,5057681,19,,,
Haiti,30,North America,3,2,1,,28,,3,0.2,257,23,11402528,24,-99.68,13.04,20.38
Benin,26,Africa,,1,,5,20,,2,0.08,,,12123200,19,,,
Tanzania,25,Africa,,1,,5,19,,0.4,0.02,,,59734218,18,,,
Myanmar,22,Asia,,3,,1,18,,0.4,0.06,1246,23,54409800,29,-99.68,1.74,-83.94
Libya,21,Africa,,1,,8,12,,3,0.1,355,52,6871292,29,-99.29,5.77,-46.73
Angola,19,Africa,,2,,2,15,,0.6,0.06,,,32866272,17,,,
