Γεωγραφικό Διαμέρισμα,Περιφέρεια,county_normalized,county,unit,unit2,3/24/21
Πελοπόννησος,Περιφέρεια Δυτικής Ελλάδας,ΗΛΕΙΑΣ,Π.Ε. Ηλείας,Π.Ε. Ηλείας,ΗΛΕΙΑΣ,33.0
Μακεδονία,Περιφέρεια Κεντρικής Μακεδονίας,ΗΜΑΘΙΑΣ,Π.Ε. Ημαθίας,Π.Ε. Ημαθίας,ΗΜΑΘΙΑΣ,22.0
Κρήτη,Περιφέρεια Κρήτης,ΗΡΑΚΛΕΙΟΥ,Π.Ε. Ηρακλείου,Π.Ε. Ηρακλείου,ΗΡΑΚΛΕΙΟΥ,37.0
Ήπειρος,Περιφέρεια Ηπείρου,ΘΕΣΠΡΩΤΙΑΣ,Π.Ε. Θεσπρωτίας,Π.Ε. Θεσπρωτίας,ΘΕΣΠΡΩΤΙΑΣ,1.0
Μακεδονία,Περιφέρεια Κεντρικής Μακεδονίας,ΘΕΣΣΑΛΟΝΙΚΗΣ,Π.Ε. Θεσσαλονίκης,Π.Ε. Θεσσαλονίκης,ΘΕΣΣΑΛΟΝΙΚΗΣ,387.0
Ήπειρος,Περιφέρεια Ηπείρου,ΙΩΑΝΝΙΝΩΝ,Π.Ε. Ιωαννίνων,Π.Ε. Ιωαννίνων,ΙΩΑΝΝΙΝΩΝ,38.0
Μακεδονία,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,ΚΑΒΑΛΑΣ,Ν. Καβάλας,Ν. Καβάλας,,
Μακεδονία,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,ΚΑΒΑΛΑΣ,Ν. Καβάλας,Π.Ε. Θάσου,ΘΑΣΟΥ,1.0
Μακεδονία,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,ΚΑΒΑΛΑΣ,Π.Ε. Καβάλας,Π.Ε. Καβάλας,ΚΑΒΑΛΑΣ,21.0
Θεσσαλία,Περιφέρεια Θεσσαλίας,ΚΑΡΔΙΤΣΑΣ,Π.Ε. Καρδίτσας,Π.Ε. Καρδίτσας,ΚΑΡΔΙΤΣΑΣ,29.0
