names,prize_money,best_rank,overall_surface_pct,hard_surface_pct,clay_surface_pct,grass_surface_pct,ranksDiff1,ranksDiff2,ranksDiff3,best_rank_std,age_turned_pro,age,plays,backhand,favorite_surface,hard_titles_std,clay_titles_std,titles_std,prize_money_std
Daniel Elsner,64889.0,92,0.23,0.14,0.26,0.01,212.0,1.0,159.0,3.0,18.0,41.0,3,3,4,,,,11.0804333968014
Yannick Maden,113620.0,96,0.35,0.33,0.44,0.01,257.0,207.0,507.0,6.0,23.0,30.0,3,3,4,,,,11.640614826111099
Wesley Whitehouse,47937.75,214,0.36,0.38,,0.33,84.0,58.0,227.0,6.0,18.0,40.0,2,3,10,,,,10.7776585732199
Ricardo Rodriguez,13650.14,282,0.71,0.76,0.5,,285.0,31.0,5.0,2.0,18.0,26.0,3,1,10,,,,9.521505056970769
Yaoki Ishii,,207,0.33,0.01,,,101.0,399.0,147.0,,,42.0,3,1,1,,,,
Alex Calatrava,121448.45,44,0.38,0.4,0.4,0.14,44.0,33.0,9.0,8.0,19.0,46.0,3,2,15,,0.0909090909090909,0.0909090909090909,11.707245171895199
Albert Portas,212317.21,19,0.42,0.22,0.47,0.21,31.0,68.0,3.0,7.0,20.0,46.0,3,3,4,,0.0714285714285714,0.0714285714285714,12.2658367089371
Chu Huan Yi,32484.5,489,0.01,0.01,,,232.0,194.0,258.0,,,32.0,2,1,1,,,,10.3885183314769
Christopher Rungkat,23293.2,241,0.6,0.57,0.99,,219.0,171.0,631.0,6.0,17.0,30.0,3,1,10,,,,10.055916751465
Tim Henman,831110.14,4,0.64,0.65,0.53,0.71,1.0,1.0,7.0,9.0,18.0,45.0,3,2,9,0.6428571428571429,,0.7857142857142858,13.6305176041646
Brayden Schnur,82927.4,92,0.22,0.25,,0.01,67.0,45.0,452.0,3.0,20.0,24.0,3,3,10,,,,11.3257208052113
Alexandre Simoni,98697.0,96,0.31,0.33,0.33,0.2,55.0,60.0,164.0,4.0,17.0,40.0,3,1,15,,,,11.499809829822901
Cameron Norrie,403624.0,41,0.46,0.48,0.46,0.36,309.0,47.0,603.0,2.0,21.0,24.0,2,3,15,,,,12.908239030510302
Catalin Ionut Gard,,229,,,,,208.0,237.0,19.0,8.0,18.0,38.0,3,1,1,,,,
Todd Widom,,200,0.5,0.5,,,458.0,31.0,90.0,,,36.0,3,1,10,,,,
Davide Sanguinetti,225794.08,42,0.41,0.44,0.37,0.43,26.0,45.0,19.0,12.0,20.0,47.0,3,3,5,0.0769230769230769,,0.153846153846154,12.3273787124621
Alexander Slabinsky,97728.0,266,0.01,,,0.01,154.0,396.0,57.0,1.0,21.0,34.0,3,1,1,,,,11.4899433885783
Carsten Ball,167765.25,108,0.42,0.39,0.67,0.01,599.0,179.0,68.0,5.0,17.0,32.0,2,3,4,,,,12.0303209597929
Arnau Brugues Davi,111427.0,135,0.25,0.33,0.01,,86.0,23.0,484.0,8.0,18.0,35.0,2,3,1,,,,11.6211249469469
Carlos Avellan,,306,0.53,0.5,0.54,,181.0,7.0,32.0,,,37.0,3,1,14,,,,
Bruno Rodriguez,21024.33,364,0.67,,0.75,,20.0,95.0,351.0,,,33.0,3,3,1,,,,9.95343561750818
Stian Boretti,,375,0.36,0.42,0.33,,3.0,156.0,39.0,,,38.0,3,1,10,,,,
Pierre Ludovic Duclos,68780.67,229,0.25,0.33,,0.01,20.0,257.0,62.0,5.0,21.0,34.0,3,3,1,,,,11.1386780251427
Dawid Olejniczak,,185,0.38,0.75,0.01,0.01,405.0,251.0,60.0,,,37.0,3,1,1,,,,
David Souto,11163.57,208,0.56,0.7,0.5,,249.0,36.0,85.0,,,27.0,2,3,10,,,,9.32041107725373
Cesar Ramirez,20120.29,391,0.42,0.33,0.47,,61.0,123.0,131.0,,,30.0,3,3,4,,,,9.90948403762869
Calvin Hemery,100955.75,116,0.2,0.01,0.29,,95.0,301.0,68.0,,,25.0,3,3,4,,,,11.5224375810094
Andrew Whittington,230151.0,160,0.4,0.5,,0.01,177.0,413.0,153.0,7.0,16.0,26.0,3,3,1,,,,12.346490894228301
Tim Puetz,265108.0,165,0.33,0.01,,0.5,169.0,184.0,54.0,,,32.0,3,3,1,,,,12.4878925691134
Andrey Rublev,634608.14,14,0.56,0.58,0.48,0.57,214.0,252.0,146.0,6.0,16.0,22.0,3,3,6,0.42857142857142894,0.14285714285714302,0.5714285714285711,13.3607629850266
Bruno Soares,2935650.5,221,0.99,,0.99,,182.0,41.0,331.0,3.0,19.0,38.0,3,3,1,,,,14.892439622121199
Kenneth Carlsen,199398.67,41,0.48,0.5,0.29,0.46,88.0,43.0,24.0,1.0,18.0,46.0,2,2,5,0.2,,0.2,12.2030614664776
Andre Agassi,,1,0.76,0.79,0.73,0.74,3.0,1.0,2.0,9.0,15.0,49.0,3,3,10,2.19047619047619,0.33333333333333304,2.85714285714286,
Maxime Chazal,,234,,,,,62.0,255.0,205.0,6.0,16.0,26.0,3,2,1,,,,
Arnaud Di Pasquale,166113.71,39,0.41,0.33,0.48,0.25,84.0,46.0,419.0,2.0,19.0,41.0,3,2,4,,0.14285714285714302,0.14285714285714302,12.020427832833299
Nicolas Barrientos,44174.0,237,0.01,0.01,,,380.0,171.0,36.0,6.0,21.0,32.0,3,3,1,,,,10.695891659693402
Kamil Majchrzak,97318.0,83,0.38,0.38,0.5,0.25,161.0,78.0,20.0,5.0,18.0,24.0,3,3,10,,,,11.4857392459259
Jan Choinski,113558.0,234,0.01,,,0.01,217.0,148.0,4.0,,,23.0,3,3,1,,,,11.6400689985967
Maxime Hamou,58940.5,211,0.01,,0.01,,548.0,16.0,14.0,,,24.0,3,3,1,,,,10.984283739459
Galo Blanco,140976.23,40,0.41,0.2,0.47,0.14,58.0,78.0,35.0,3.0,18.0,43.0,3,2,4,,0.0769230769230769,0.0769230769230769,11.856346573588601
Chuhan Wang,51935.0,365,0.33,0.33,,,39.0,119.0,431.0,,,28.0,3,3,1,,,,10.8577482156619
Tomas Behrend,108594.67,74,0.36,0.31,0.39,0.01,13.0,26.0,68.0,11.0,19.0,45.0,3,2,3,,,,11.595377606087899
Clement Morel,21962.0,387,0.5,,0.5,,262.0,61.0,54.0,,,35.0,3,1,1,,,,9.997068966157661
Andre Begemann,,166,,,,,540.0,196.0,126.0,2.0,23.0,35.0,3,1,1,,,,
Lazar Magdincev,,339,0.41,0.4,0.42,,11.0,42.0,95.0,,,39.0,3,1,14,,,,
Evgeny Tyurnev,89281.0,335,0.01,0.01,,,220.0,278.0,83.0,,,22.0,3,3,1,,,,11.3995439782693
Michel Koning,,229,0.01,,,0.01,175.0,291.0,360.0,,,35.0,3,1,1,,,,
Viktor Durasovic,11979.0,298,0.15,0.11,0.01,,427.0,56.0,25.0,,,22.0,3,3,10,,,,9.39091039573133
Andrew Harris,156950.0,159,0.01,0.01,,,56.0,33.0,245.0,,,26.0,3,1,1,,,,11.9636825622701
Mario Vilella Martinez,104000.0,178,0.01,0.01,,,524.0,144.0,60.0,,,24.0,3,3,1,,,,11.5521461781235
Andrew Anderson,54889.0,376,0.01,0.01,,,88.0,246.0,113.0,8.0,18.0,36.0,3,1,1,,,,10.9130682431233
Nicolas Kicker,280114.0,78,0.41,0.33,0.46,0.01,96.0,222.0,152.0,8.0,16.0,27.0,3,2,4,,,,12.542951942148399
Glenn Weiner,49861.4,119,0.34,0.33,,0.4,31.0,139.0,124.0,10.0,17.0,43.0,3,1,14,,,,10.8170024353035
Maxime Janvier,159701.5,170,0.01,0.01,0.01,,359.0,46.0,189.0,,,23.0,3,3,1,,,,11.9810617267701
Joao Lucas Magalhaes Hueb De Menezes,,172,0.01,,0.01,,209.0,2.0,142.0,,,23.0,3,1,1,,,,
Nicolas Thomann,54703.62,106,0.36,0.42,0.14,0.33,84.0,91.0,7.0,7.0,23.0,47.0,3,1,8,,,,10.9096851653794
Giorgio Galimberti,68796.67,115,0.3,0.33,0.33,,90.0,62.0,19.0,8.0,18.0,43.0,3,2,14,,,,11.1389106215873
Karan Rastogi,,284,0.2,0.14,0.01,,141.0,129.0,372.0,,,33.0,3,1,10,,,,
Sasi Kumar Mukund,,229,0.01,0.01,,,290.0,126.0,131.0,,,23.0,3,1,1,,,,
Liang Chi Huang,34739.0,223,0.86,0.83,0.99,,202.0,293.0,74.0,,,27.0,3,3,1,,,,10.455618254118802
Carlos Cuadrado,27801.33,222,0.5,,0.5,,243.0,246.0,133.0,,,36.0,3,1,1,,,,10.232839140261001
Jasper Smit,94414.0,413,0.01,0.01,,,275.0,32.0,140.0,,,39.0,3,1,1,,,,11.455444646222201
Alexander Lazov,25741.75,324,0.14,0.2,0.01,,95.0,234.0,75.0,9.0,15.0,29.0,2,1,1,,,,10.1558694664071
Chris Eaton,84298.0,317,0.5,0.5,,0.5,118.0,269.0,102.0,2.0,19.0,32.0,3,2,1,,,,11.3421134189161
Ryler Deheart,107145.0,174,0.2,0.2,,,391.0,280.0,70.0,4.0,22.0,36.0,2,2,1,,,,11.5819383362572
Sanjar Fayziev,24546.8,253,0.09,0.01,0.33,0.01,292.0,84.0,193.0,,,25.0,3,3,10,,,,10.1083367784947
Michael Mmoh,131499.6,96,0.32,0.35,,0.01,204.0,280.0,72.0,2.0,18.0,22.0,3,3,10,,,,11.786759088770198
Vladimir Ivanov,22165.4,310,0.54,0.99,0.01,,66.0,131.0,189.0,,,32.0,3,3,10,,,,10.006287793486
Jeff Morrison,96309.5,85,0.36,0.37,0.17,0.38,402.0,76.0,56.0,2.0,21.0,41.0,3,3,6,,,,11.475322242972501
Cem Ilkel,35600.67,195,0.21,0.29,0.01,0.01,3.0,178.0,8.0,,,24.0,3,3,10,,,,10.4801197368877
Chase Buchanan,108077.5,158,0.01,0.01,,,23.0,86.0,500.0,,,28.0,3,3,1,,,,11.5906038413525
Michael Mcclune,71700.5,267,0.33,0.33,,,230.0,29.0,123.0,3.0,17.0,30.0,3,2,1,,,,11.180253000064099
Mark Philippoussis,537492.46,8,0.61,0.6,0.56,0.69,93.0,24.0,71.0,5.0,17.0,43.0,3,2,9,0.615384615384615,0.0769230769230769,0.8461538461538459,13.194670010978598
Sam Barry,29118.5,255,0.22,0.14,0.01,,128.0,186.0,66.0,5.0,19.0,28.0,3,3,1,,,,10.2791289899949
Victor Baluda,114392.0,290,0.01,0.01,,,345.0,6.0,22.0,,,27.0,3,3,1,,,,11.6473864254127
Florin Mergea,332576.6,243,0.43,0.01,0.67,0.5,209.0,18.0,143.0,2.0,18.0,35.0,3,2,1,,,,12.714625488485401
Victor Bruthans,111244.0,238,0.01,,0.01,,38.0,57.0,239.0,,,40.0,3,1,1,,,,11.619481265989801
Mark Nielsen,15115.55,172,0.51,0.5,0.99,0.01,195.0,155.0,247.0,3.0,19.0,42.0,3,1,10,,,,9.62347929424589
Todd Reid,75500.0,105,0.39,0.42,0.01,0.33,527.0,76.0,117.0,2.0,16.0,34.0,3,3,10,,,,11.2318879352371
Milos Sekulic,,643,0.01,0.01,,,99.0,126.0,18.0,,,30.0,3,1,1,,,,
Komlavi Loglo,74288.0,316,0.01,0.01,,,257.0,24.0,17.0,4.0,18.0,35.0,3,3,1,,,,11.2157047102597
Jaume Munar,172985.33,52,0.42,0.33,0.49,0.01,517.0,256.0,103.0,5.0,16.0,22.0,3,3,4,,,,12.060962072196501
Jean Francois Bachelot,131749.33,134,0.36,0.5,0.33,0.01,25.0,122.0,147.0,7.0,18.0,42.0,3,2,1,,,,11.788656381001699
Marko Tepavac,140292.0,174,0.01,0.01,,,250.0,159.0,130.0,,,25.0,3,3,1,,,,11.851481243794801
Maxime Teixeira,75598.75,154,0.17,0.01,0.25,,160.0,69.0,39.0,2.0,21.0,31.0,3,3,1,,,,11.2331950276394
Roman Safiullin,105848.0,170,0.01,0.01,,,547.0,386.0,166.0,5.0,17.0,22.0,3,3,1,,,,11.5697593817222
Sargis Sargsian,200287.08,38,0.43,0.39,0.43,0.48,22.0,31.0,64.0,9.0,21.0,46.0,3,3,13,,,0.0769230769230769,12.207507016328401
Neil Pauffley,,406,,,,,248.0,99.0,103.0,5.0,17.0,29.0,3,3,1,,,,
Roman Valent,60375.0,300,0.01,0.01,,,84.0,240.0,312.0,2.0,17.0,36.0,3,3,1,,,,11.0083303909549
Theodoros Angelinos,45310.5,251,0.25,,0.25,,320.0,80.0,289.0,,,35.0,3,3,1,,,,10.7212940726919
Laurent Lokoli,71701.67,207,0.01,0.01,0.01,,195.0,329.0,89.0,,,25.0,3,3,1,,,,11.1802693178088
Nathan Healey,138047.5,159,0.32,0.31,0.01,0.5,25.0,472.0,103.0,9.0,18.0,40.0,3,1,10,,,,11.835353107813699
