names,prize_money,best_rank,overall_surface_pct,hard_surface_pct,clay_surface_pct,grass_surface_pct,ranksDiff1,ranksDiff2,ranksDiff3,best_rank_std,age_turned_pro,age,plays,backhand,favorite_surface,hard_titles_std,clay_titles_std,titles_std,prize_money_std
Albert Costa,548105.57,6,0.58,0.5,0.66,0.22,14.0,31.0,16.0,9.0,17.0,44.0,3,2,4,,0.857142857142857,0.857142857142857,13.214223193361699
Arvind Parmar,74234.71,137,0.33,0.25,,0.38,56.0,40.0,4.0,3.0,18.0,41.0,3,1,9,,,,11.2149871095334
Edward Corrie,219337.0,215,0.01,,,0.01,196.0,229.0,64.0,9.0,17.0,32.0,1,1,1,,,,12.298364638824802
Gregory Carraz,104591.75,54,0.39,0.41,0.01,0.4,384.0,61.0,64.0,11.0,17.0,44.0,3,2,3,,,,11.557819955609501
Yaraslau Shyla,32793.0,306,0.43,0.5,0.01,,14.0,311.0,10.0,4.0,18.0,27.0,3,3,1,,,,10.3979703569619
Daniel King Turner,21916.62,217,0.54,0.52,0.33,0.99,217.0,113.0,120.0,7.0,18.0,35.0,3,1,10,,,,9.995000532092071
Olivier Mutis,67130.11,71,0.37,0.18,0.46,0.4,104.0,190.0,10.0,7.0,18.0,42.0,3,3,16,,,,11.114387955543098
John Van Lottum,118816.3,62,0.38,0.41,0.32,0.45,92.0,7.0,23.0,5.0,17.0,43.0,3,3,6,,,,11.6853338818861
Antonie Hoang,,98,0.36,0.27,0.67,,8.0,382.0,165.0,,,24.0,3,1,10,,,,
Oscar Otte,236492.0,129,0.29,0.25,0.33,,158.0,349.0,36.0,6.0,17.0,26.0,3,1,1,,,,12.3736696597035
Daniel Elahi Galan Riveros,46070.5,140,0.47,0.4,0.57,,516.0,130.0,76.0,,,23.0,3,3,4,,,,10.737928110920802
Mariano Albert Ferrando,,178,0.01,,0.01,,83.0,47.0,161.0,,,37.0,3,1,1,,,,
Orest Tereshchuk,14759.62,240,0.67,0.67,0.57,,158.0,96.0,32.0,4.0,16.0,38.0,3,1,3,,,,9.5996503525656
Alejandro Kon,,413,0.01,,0.01,,130.0,347.0,4.0,,,33.0,1,1,1,,,,
Daniel Altmaier,53916.5,209,0.33,,0.01,0.67,139.0,572.0,95.0,3.0,15.0,21.0,3,2,1,,,,10.8951918325002
Sjeng Schalken,432733.17,11,0.52,0.53,0.47,0.6,4.0,6.0,2.0,9.0,17.0,43.0,3,2,9,0.5,0.0833333333333333,0.75,12.9778765814676
Bernabe Zapata Miralles,75416.5,196,0.25,,0.25,,373.0,293.0,38.0,,,23.0,3,3,1,,,,11.230781362946901
Jamie Delgado,92759.0,121,0.24,0.27,0.01,0.28,47.0,164.0,126.0,6.0,17.0,42.0,3,3,14,,,,11.437760010802501
Nikola Cacic,181869.0,281,0.5,,0.5,,245.0,43.0,191.0,,,29.0,3,3,1,,,,12.111041926673
Daniel Masur,127818.5,203,0.2,0.01,0.25,,69.0,59.0,90.0,4.0,18.0,25.0,3,3,1,,,,11.7583665678827
Greg Rusedski,596322.73,4,0.6,0.59,0.37,0.7,38.0,1.0,88.0,6.0,17.0,46.0,2,2,5,0.46666666666666706,,1.0,13.2985372927815
Ivo Heuberger,105563.11,102,0.3,0.32,0.12,0.33,110.0,15.0,28.0,5.0,21.0,44.0,3,3,5,,,,11.5670642521007
Oscar Burrieza,63838.0,126,0.19,0.18,0.01,0.29,203.0,331.0,20.0,3.0,18.0,44.0,3,3,9,,,,11.064103903312098
Stefan Kozlov,53604.43,115,0.23,0.01,0.01,0.46,116.0,184.0,149.0,4.0,15.0,22.0,3,3,9,,,,10.889386992897402
Yassine Idmbarek,,659,0.46,0.33,0.57,,154.0,157.0,301.0,,,33.0,1,1,4,,,,
Benjamin Lock,33272.0,391,0.75,0.75,,,265.0,106.0,69.0,2.0,23.0,27.0,3,3,1,,,,10.412471481422699
Marc Polmans,169099.0,119,0.29,0.33,0.01,,518.0,157.0,32.0,,,22.0,3,3,1,,,,12.038239621208598
Blake Mott,141625.0,220,0.01,0.01,,,71.0,92.0,394.0,,,23.0,3,3,1,,,,11.8609379983303
Andre Gaspar Murta,40075.0,480,0.99,,0.99,,326.0,117.0,118.0,,,25.0,3,3,1,,,,10.598507977477801
Mate Pavic,465934.5,295,0.23,0.01,0.17,0.4,466.0,43.0,11.0,,,26.0,2,3,9,,,,13.051800345288699
Mate Delic,64345.33,150,0.2,0.01,0.27,,131.0,252.0,285.0,,,26.0,3,3,4,,,,11.0720196385182
Victor Mugurel Anagnastopol,,469,,,,,292.0,50.0,246.0,8.0,16.0,33.0,3,1,1,,,,
Brian Vahaly,199355.0,64,0.33,0.35,0.17,0.3,241.0,27.0,162.0,2.0,21.0,40.0,3,3,6,,,,12.2028424340099
Sergei Yaroshenko,,356,0.5,0.4,0.99,,147.0,263.0,383.0,,,42.0,3,1,1,,,,
Mark Hilton,43362.25,202,0.2,,,0.2,66.0,1.0,59.0,5.0,18.0,38.0,2,3,1,,,,10.6773445259111
Andrei Ciumac,,556,0.01,0.01,,,42.0,235.0,116.0,,,34.0,2,1,1,,,,
Aziz Dougaz,30992.0,356,0.01,0.01,,,160.0,202.0,115.0,,,22.0,2,3,1,,,,10.341484385646801
Matteo Donati,304555.0,159,0.5,,0.5,,14.0,227.0,86.0,,,25.0,3,3,1,,,,12.626606973795301
Jan Frode Andersen,28449.64,135,0.55,0.3,0.61,,47.0,104.0,82.0,2.0,24.0,47.0,2,1,2,,,,10.2558907856959
Tomislav Jotovski,,510,0.01,0.01,0.01,,165.0,268.0,120.0,,,29.0,3,1,1,,,,
Markus Hantschk,85808.67,71,0.39,0.33,0.44,0.25,106.0,126.0,127.0,4.0,18.0,42.0,3,2,4,,,,11.359875329322
Lucas Miedler,75386.33,201,0.01,0.01,0.01,,21.0,110.0,15.0,,,23.0,3,2,1,,,,11.2303812378245
Andrea Basso,85529.0,301,0.01,,0.01,,199.0,164.0,348.0,,,26.0,2,3,1,,,,11.3566107787024
Sumit Nagal,57186.25,125,0.01,0.01,0.01,,198.0,117.0,210.0,5.0,17.0,22.0,3,3,1,,,,10.954068763855501
Scoville Jenkins,58919.17,187,0.29,0.21,0.4,0.5,505.0,96.0,86.0,5.0,17.0,33.0,3,3,4,,,,10.9839217835799
Tuomas Ketola,50481.38,130,0.33,0.36,0.25,0.17,98.0,75.0,1.0,4.0,19.0,45.0,3,1,8,,,,10.829359834400899
Matteo Berrettini,895215.5,8,0.58,0.47,0.67,0.72,390.0,81.0,46.0,4.0,18.0,23.0,3,3,16,,0.5,0.75,13.7048197503965
Tallon Griekspoor,77753.75,161,0.2,0.22,,0.01,366.0,1.0,53.0,,,23.0,3,3,10,,,,11.2613020603896
Benjamin Bonzi,144032.0,176,0.33,,0.5,0.01,321.0,74.0,98.0,,,23.0,3,3,1,,,,11.877790776092699
Jakub Herm Zahlava,44319.0,194,0.01,,0.01,,174.0,255.0,308.0,,,39.0,3,1,1,,,,10.699168757989698
Luis Patino,,567,0.33,0.6,0.01,,227.0,25.0,151.0,,,26.0,3,1,1,,,,
Lloyd George Muirhead Harris,142699.8,72,0.5,0.55,0.17,0.01,67.0,164.0,28.0,5.0,18.0,23.0,3,3,10,,,,11.8684984019222
Tom Kocevar Desman,20645.5,349,0.01,0.01,,,132.0,225.0,134.0,,,29.0,3,3,1,,,,9.935252656966131
German Puentes,80228.17,90,0.32,0.17,0.33,0.5,65.0,254.0,5.0,5.0,22.0,47.0,3,2,4,,,,11.292629979064698
Torsten Popp,,206,0.01,,0.01,,279.0,292.0,17.0,,,36.0,3,1,1,,,,
Ben Qiang Zhu,13306.0,276,0.57,0.58,,0.5,537.0,604.0,33.0,,,40.0,3,3,10,,,,9.49597034030183
James Lemke,97047.0,224,0.01,0.01,,,324.0,139.0,28.0,5.0,18.0,32.0,3,3,1,,,,11.4829506762183
Bartolome Salva Vidal,,288,0.01,0.01,0.01,,323.0,1.0,87.0,,,33.0,2,1,1,,,,
Altug Celikbilek,16068.75,320,0.5,0.5,0.01,0.5,178.0,44.0,145.0,,,23.0,3,3,1,,,,9.684631671014198
Jarmere Jenkins,,190,,,,,59.0,442.0,149.0,2.0,22.0,29.0,3,3,1,,,,
Janez Semrajc,13508.6,262,0.8,0.99,0.99,,82.0,35.0,250.0,,,30.0,3,1,1,,,,9.5110817986416
Mathieu Montcourt,81764.25,104,0.33,0.01,0.46,,573.0,134.0,61.0,7.0,6.0,24.0,3,3,4,,,,11.311595385495501
Taylor Harry Fritz,453719.0,24,0.5,0.5,0.52,0.44,70.0,55.0,17.0,5.0,17.0,22.0,3,3,15,,,0.166666666666667,13.0252333426681
Soon Woo Kwon,122216.5,69,0.48,0.54,,0.01,477.0,67.0,147.0,,,22.0,3,3,10,,,,11.713549341154598
Mait Kunnap,,705,0.2,0.01,0.01,,123.0,128.0,9.0,,,37.0,3,1,3,,,,
Seung Hoon Lee,,391,0.01,0.01,,0.01,109.0,451.0,59.0,,,40.0,3,1,1,,,,
Martin Emmrich,,604,0.01,,,0.01,112.0,119.0,58.0,,,35.0,2,1,1,,,,
Jared Donaldson,342261.17,48,0.43,0.46,0.27,0.43,469.0,127.0,80.0,4.0,17.0,23.0,3,3,6,,,,12.743329379579402
Geoffrey Blancaneaux,151636.0,264,0.01,0.01,,,625.0,119.0,97.0,,,21.0,3,3,1,,,,11.929238191018
Jan Weinzierl,59053.5,228,0.01,0.01,0.01,,15.0,7.0,187.0,,,46.0,3,1,1,,,,10.9861990916726
Luis Manuel Flores,12225.67,423,0.75,0.5,,,277.0,146.0,251.0,5.0,18.0,35.0,2,1,1,,,,9.41129311856727
Anas Fattar,,599,0.01,,0.01,,48.0,166.0,95.0,,,32.0,3,1,1,,,,
Toni Androic,150212.0,219,0.01,0.01,0.01,,474.0,44.0,43.0,4.0,18.0,28.0,3,3,1,,,,11.919802908596198
Bowen Ouyang,,611,0.01,0.01,,,21.0,93.0,152.0,,,27.0,2,1,1,,,,
Temur Ismailov,9511.0,397,0.2,0.5,0.01,0.01,66.0,377.0,74.0,,,25.0,3,3,1,,,,9.16020430248239
Stefanos Tsitsipas,2606401.25,5,0.62,0.62,0.67,0.53,485.0,76.0,9.0,3.0,17.0,21.0,3,2,4,1.0,0.25,1.25,14.7734809964185
Sebastian Ofner,153947.67,126,0.47,0.01,0.56,0.67,600.0,36.0,23.0,4.0,18.0,23.0,3,3,4,,,,11.9443680184541
Sebastian Fitz,,257,0.01,,,0.01,163.0,190.0,259.0,,,40.0,3,1,1,,,,
Miki Jankovic,,256,,,,,90.0,213.0,171.0,5.0,16.0,25.0,3,3,1,,,,
Scott Griekspoor,78745.0,205,0.01,0.01,,,224.0,10.0,56.0,,,29.0,3,3,1,,,,11.273970062608699
Oscar Serrano,,128,0.32,0.01,0.33,,92.0,56.0,94.0,,,41.0,3,1,4,,,,
Ignacio Gonzalez King,,203,,,,,74.0,297.0,31.0,4.0,18.0,39.0,3,1,1,,,,
Julien Varlet,94206.0,135,0.27,0.01,0.25,,143.0,290.0,16.0,6.0,19.0,42.0,3,1,1,,,,11.453239152803599
Orlando Luz,110189.0,292,0.01,,0.01,,271.0,250.0,173.0,,,22.0,3,3,1,,,,11.609952352207
Reilly Opelka,279334.8,31,0.5,0.55,0.2,0.4,752.0,130.0,63.0,4.0,17.0,22.0,3,3,10,0.4,,0.4,12.540166341379
Edan Leshem,12292.8,249,0.29,0.2,0.5,,328.0,200.0,63.0,,,22.0,3,3,1,,,,9.41676900411337
Julien Cagnina,88523.0,239,0.01,0.01,,,297.0,226.0,138.0,,,25.0,3,3,1,,,,11.391017684236902
Marcelo Melo,6934508.0,273,0.99,,0.99,,168.0,61.0,326.0,7.0,14.0,36.0,3,3,1,,,,15.7520206647299
Dragos Dima,41700.5,279,0.99,0.99,,,289.0,122.0,2.0,,,27.0,3,2,1,,,,10.6382683981227
Akira Santillan,175392.0,144,0.22,0.2,0.01,0.5,469.0,143.0,35.0,4.0,15.0,22.0,3,2,1,,,,12.0747787478458
Tobias Summerer,,159,0.11,0.01,0.17,0.01,345.0,392.0,33.0,,,37.0,3,1,1,,,,
Marcelo Tomas Barrios Vera,34980.0,279,0.67,0.99,0.5,,161.0,218.0,23.0,,,22.0,3,3,1,,,,10.4625317485726
Johan Settergren,46747.33,130,0.33,0.01,0.5,,15.0,65.0,155.0,4.0,18.0,41.0,3,1,1,,,,10.7525124207864
Robert Lindstedt,1232983.33,309,0.01,0.01,,,288.0,264.0,45.0,6.0,20.0,42.0,3,3,1,,,,14.0249472621849
Nik Razborsek,25656.5,409,0.01,0.01,,,379.0,154.0,148.0,6.0,18.0,26.0,2,3,1,,,,10.1525522298017
Johan Nikles,45711.0,457,0.01,,0.01,,101.0,235.0,198.0,,,22.0,3,3,1,,,,10.730094248137501
Eric Quigley,116455.0,297,0.01,0.01,,,18.0,126.0,164.0,3.0,23.0,31.0,3,3,1,,,,11.665260211273502
Aleksandar Vukic,27395.0,244,0.01,0.01,,,251.0,119.0,75.0,,,23.0,3,3,1,,,,10.218115793972501
Marcelo Charpentier,46983.71,114,0.24,0.33,0.24,0.01,138.0,106.0,169.0,5.0,18.0,46.0,2,1,10,,,,10.757556224869301
Nino Serdarusic,58883.33,192,0.25,,0.25,,446.0,38.0,14.0,4.0,17.0,23.0,3,3,1,,,,10.9833133075101
Emin Agaev,97733.0,247,0.01,0.01,,,278.0,322.0,35.0,,,40.0,3,1,1,,,,11.489994549679501
Isak Arvidsson,25145.0,489,0.11,0.12,0.01,,33.0,235.0,187.0,,,27.0,3,1,1,,,,10.1324143486061
Alejandro Hernandez,,125,0.48,0.46,0.52,0.01,87.0,152.0,146.0,,,42.0,3,1,4,,,,
Ian Flanagan,,503,0.67,,,0.67,379.0,424.0,306.0,,,38.0,1,1,1,,,,
Danylo Kalenichenko,27104.0,439,0.01,0.01,,,149.0,245.0,47.0,,,26.0,3,3,1,,,,10.207436597451801
Radoslav Lukaev,18338.0,229,0.5,0.5,0.5,,538.0,135.0,345.0,2.0,17.0,37.0,3,1,1,,,,9.81673068860985
Roberto Cid,8233.67,215,0.18,0.29,0.01,,566.0,161.0,7.0,,,26.0,3,3,10,,,,9.01598712380022
Juan Luis Tati Rascon,31811.17,144,0.17,0.25,0.01,,386.0,296.0,126.0,,,49.0,3,1,4,,,,10.367572764953302
Yves Allegro,109761.0,210,0.33,0.01,0.01,0.4,1.0,124.0,106.0,6.0,18.0,41.0,3,1,9,,,,11.606060553705401
Adam Kellner,11210.33,218,0.46,0.6,0.25,,173.0,248.0,48.0,,,33.0,3,3,10,,,,9.324590953634699
Phillip Harboe,,312,0.01,,0.01,,389.0,170.0,22.0,,,37.0,3,1,1,,,,
David Vega Hernandez,147860.0,403,0.01,,0.01,,49.0,26.0,118.0,,,25.0,3,3,1,,,,11.9040211591111
Zbynek Mlynarik,112394.0,206,0.01,0.01,,,70.0,474.0,419.0,,,42.0,3,1,1,,,,11.629765834234
Philipp Marx,,300,,,,,185.0,306.0,34.0,5.0,19.0,38.0,3,2,1,,,,
Zdenek Kolar,302592.0,208,0.01,,0.01,,429.0,13.0,22.0,,,23.0,3,3,1,,,,12.6201406424456
Zeljko Krajan,40589.71,88,0.24,0.22,0.27,0.01,429.0,62.0,112.0,5.0,18.0,41.0,3,1,14,,,,10.6112698651905
Tobias Clemens,95871.0,191,0.5,0.67,,,32.0,328.0,330.0,1.0,25.0,40.0,3,1,1,,,,11.4707588168083
Zhizhen Zhang,70926.5,136,0.46,0.42,,,71.0,18.0,222.0,8.0,15.0,23.0,3,3,10,,,,11.169399408554598
David Sanchez,161307.44,41,0.42,0.2,0.5,0.01,15.0,14.0,10.0,6.0,18.0,41.0,3,2,4,,0.222222222222222,0.222222222222222,11.991067388282099
Diego Hipperdinger,,177,0.01,,0.01,,33.0,265.0,192.0,,,43.0,3,1,1,,,,
Dmitry Vlasov,99524.0,240,0.01,,0.01,,29.0,18.0,40.0,,,37.0,3,1,1,,,,11.5081541000913
Predrag Rusevski,12185.4,242,0.4,0.5,0.38,,142.0,177.0,306.0,8.0,16.0,36.0,3,3,4,,,,9.407993792767119
Juan Pablo Ficovich,,198,0.01,,0.01,,281.0,140.0,286.0,,,23.0,3,1,1,,,,
David Martin,354753.0,459,0.01,0.01,,,110.0,94.0,55.0,3.0,22.0,39.0,2,3,1,,,,12.779177051646199
Andrey Kumantsov,51928.0,261,0.01,0.01,,,383.0,153.0,5.0,,,33.0,3,1,1,,,,10.857613422713301
Diego Moyano,71131.33,130,0.01,,0.01,,175.0,121.0,37.0,3.0,21.0,44.0,3,1,1,,,,11.1722831657111
Pedro Martinez Portero,125570.33,106,0.4,0.5,0.36,,427.0,105.0,14.0,4.0,18.0,22.0,3,3,4,,,,11.7406212789958
Vishal Uppal,,488,0.01,0.01,,,82.0,69.0,239.0,,,43.0,3,1,1,,,,
Frances Tiafoe,472016.71,29,0.42,0.42,0.37,0.46,97.0,40.0,8.0,4.0,17.0,22.0,3,3,6,0.14285714285714302,,0.14285714285714302,13.0647696664834
Min Hyoek Cho,,536,0.33,0.33,,,199.0,49.0,28.0,,,33.0,3,1,1,,,,
Sam Warburg,100665.0,132,0.33,0.36,,0.01,225.0,302.0,2.0,3.0,21.0,36.0,3,3,10,,,,11.5195534512604
Alexander Popp,139434.0,74,0.41,0.37,0.19,0.63,77.0,49.0,24.0,3.0,20.0,43.0,3,3,9,,,,11.8453466500082
Vivek Shokeen,,601,0.01,,0.01,,116.0,13.0,71.0,,,32.0,3,1,1,,,,
Konstantin Don Gruber,,397,0.5,0.5,,,181.0,159.0,80.0,,,40.0,3,1,1,,,,
Hubert Hurkacz,303431.4,28,0.48,0.51,0.36,0.5,382.0,152.0,49.0,5.0,18.0,23.0,3,3,6,0.2,,0.2,12.622910834279098
Kj Hippensteel,134558.0,150,0.25,0.25,,,72.0,77.0,176.0,2.0,21.0,39.0,2,3,1,,,,11.8097506118383
Vladimir Pavicevic,,329,0.5,0.01,0.99,,121.0,167.0,96.0,,,43.0,3,1,1,,,,
Alexander Bury,95002.33,366,0.67,0.99,0.01,,325.0,38.0,68.0,,,32.0,3,2,1,,,,11.4616566965977
Christian Harrison,62211.25,198,0.25,0.2,,0.33,437.0,64.0,191.0,6.0,17.0,25.0,3,1,1,,,,11.0382911305398
Corentin Moutet,286807.0,70,0.35,0.33,0.35,0.5,731.0,11.0,61.0,4.0,16.0,20.0,2,3,14,,,,12.566564794662199
Andy Ram,288159.11,187,0.24,0.2,0.33,0.01,13.0,121.0,51.0,2.0,17.0,39.0,3,2,10,,,,12.5712680718431
Francisco Costa,76357.0,140,0.17,0.01,0.25,,44.0,11.0,34.0,6.0,20.0,46.0,3,1,1,,,,11.243174989482801
Mikael Torpegaard,18031.75,166,0.43,0.25,,,229.0,366.0,162.0,1.0,24.0,25.0,3,3,1,,,,9.799889371942099
Michel Kratochvil,193229.83,35,0.43,0.44,0.38,0.52,47.0,23.0,62.0,5.0,17.0,40.0,3,3,9,,,,12.1716355884281
Jaymon Crabb,46210.5,181,0.11,0.11,,,187.0,36.0,91.0,6.0,19.0,42.0,3,1,1,,,,10.7409623239746
Lauri Kiiski,40189.0,427,0.01,,0.01,,11.0,188.0,147.0,,,39.0,3,1,1,,,,10.6013486053223
Micke Kontinen,10414.5,355,0.22,0.4,0.01,,156.0,108.0,483.0,,,27.0,3,2,1,,,,9.250954344861439
Sascha Kloer,37662.0,375,0.01,,0.01,,169.0,78.0,31.0,,,34.0,3,3,1,,,,10.536406907545599
Alexandre Muller,67015.0,226,0.01,,0.01,,351.0,15.0,108.0,,,23.0,3,3,1,,,,11.112671753912599
Sasa Tuksar,39565.5,153,0.11,,0.17,,13.0,204.0,33.0,3.0,18.0,36.0,3,1,1,,,,10.585712805395499
Miguel Angel Reyes Varela,171422.0,400,0.5,0.6,0.01,,215.0,132.0,7.0,,,32.0,3,3,1,,,,12.0518836316348
Mikael Ymer,74548.83,67,0.45,0.44,0.46,,179.0,162.0,181.0,5.0,16.0,21.0,3,3,14,,,,11.219209625904698
Francisco Fogues,83263.0,179,0.33,,0.33,,307.0,73.0,165.0,,,42.0,2,1,1,,,,11.3297595518077
Jean Julien Rojer,841742.67,218,0.93,0.99,0.01,,22.0,67.0,53.0,2.0,21.0,38.0,3,3,10,,,,13.643229628936698
Hong Chung,,507,0.01,,,0.01,265.0,225.0,94.0,,,26.0,2,1,1,,,,
Carlos Poch Gradin,,217,,,,,239.0,14.0,124.0,10.0,16.0,37.0,2,1,1,,,,
Franco Squillari,250459.1,11,0.48,0.36,0.54,0.14,41.0,24.0,45.0,6.0,18.0,44.0,2,2,4,,0.3,0.3,12.4310509127234
Carlos Taberner,42861.5,174,0.33,0.5,0.25,,584.0,98.0,93.0,5.0,17.0,22.0,3,3,1,,,,10.665729266082
Jeevan Nedunchezhiyan,329000.0,293,0.01,0.01,,,347.0,135.0,107.0,-1.0,26.0,31.0,2,3,1,,,,12.7038130297475
Jerome Golmard,201434.91,22,0.5,0.55,0.44,0.48,8.0,49.0,210.0,6.0,16.0,43.0,2,3,10,0.18181818181818202,,0.18181818181818202,12.213221580889002
Christopher Oconnell,,114,0.01,0.01,,,83.0,177.0,274.0,,,25.0,1,1,1,,,,
Wishaya Trongcharoenchaikul,11099.6,395,0.61,0.62,0.67,0.5,1.0,39.0,401.0,,,24.0,3,3,14,,,,9.31466435061508
Karol Kucera,337408.33,6,0.55,0.55,0.48,0.6,28.0,18.0,43.0,6.0,18.0,46.0,3,3,5,0.2,,0.4,12.7290491375859
Thomas Enqvist,615390.65,4,0.6,0.64,0.48,0.49,15.0,20.0,52.0,8.0,16.0,45.0,3,3,8,0.7647058823529409,0.11764705882352902,1.11764705882353,13.330012548384499
Rodolphe Cadart,28250.2,187,0.33,0.5,0.33,0.01,156.0,211.0,25.0,2.0,18.0,41.0,2,1,1,,,,10.2488558161955
Clement Reix,85511.0,250,0.5,0.5,,,141.0,468.0,205.0,,,36.0,3,1,1,,,,11.3564003016203
Thomas Dupre,,229,0.01,0.01,,,156.0,25.0,209.0,,,45.0,3,1,1,,,,
Issam Al Tawil,,635,0.29,0.2,0.5,,224.0,11.0,82.0,,,30.0,3,1,1,,,,
Alex Corretja,743668.14,2,0.61,0.56,0.66,0.36,8.0,3.0,81.0,8.0,16.0,45.0,3,2,4,0.42857142857142894,0.7142857142857142,1.21428571428571,13.519350165919
Nicolas Meister,66510.0,263,0.01,0.01,,,176.0,14.0,92.0,,,30.0,3,3,1,,,,11.1051075912785
Jimy Szymanski,,160,0.4,0.38,0.42,,211.0,10.0,493.0,,,44.0,3,1,14,,,,
Walid Jallali,,546,0.57,0.5,0.6,,54.0,110.0,92.0,,,41.0,3,1,1,,,,
Ronaldo Carvalho,,362,0.01,,0.01,,18.0,287.0,5.0,,,41.0,3,1,1,,,,
Vladyslav Manafov,33721.0,327,0.33,0.5,0.01,,157.0,1.0,15.0,,,26.0,2,3,1,,,,10.4258760676666
Felix Auger Aliassime,631158.67,17,0.55,0.52,0.56,0.73,580.0,54.0,87.0,2.0,16.0,19.0,3,3,9,,,,13.3553125679163
Roman Recarte,,492,0.43,0.33,0.5,,116.0,9.0,68.0,,,32.0,1,1,1,,,,
Collin Altamirano,104.5,267,0.01,0.01,,,73.0,58.0,450.0,,,24.0,3,3,1,,,,4.64918707140487
Israel Matos Gil,,465,0.01,,0.01,,48.0,147.0,22.0,,,37.0,1,1,1,,,,
Andres Pedroso,69938.0,271,0.01,0.01,,,236.0,89.0,43.0,,,41.0,3,1,1,,,,11.1553644142691
Marc Kimmich,35282.5,226,0.01,0.01,,,234.0,291.0,3.0,6.0,16.0,37.0,3,1,1,,,,10.471142369288199
Marcelo Rios,883070.09,1,0.67,0.67,0.69,0.5,2.0,15.0,81.0,4.0,18.0,44.0,2,3,15,0.6363636363636359,0.818181818181818,1.6363636363636398,13.6911598535593
Marc Rosset,400746.65,9,0.55,0.55,0.51,0.48,91.0,18.0,21.0,7.0,17.0,49.0,3,3,3,0.23529411764705901,0.17647058823529396,0.882352941176471,12.901084711110599
Marcelo Amador,,323,0.01,,0.01,,172.0,242.0,301.0,,,39.0,1,1,1,,,,
Marcello Craca,91219.67,90,0.32,0.2,0.36,0.01,280.0,190.0,48.0,3.0,20.0,45.0,3,1,4,,,,11.4210258326314
Todd Martin,548823.67,4,0.64,0.65,0.58,0.73,2.0,10.0,21.0,9.0,19.0,49.0,3,3,9,0.33333333333333304,0.133333333333333,0.5333333333333329,13.215532484930199
Ion Moldovan,27782.5,111,0.21,,0.27,,205.0,167.0,320.0,1.0,18.0,42.0,3,1,4,,,,10.232161605059801
Petr Luxa,70562.44,150,0.05,0.08,0.01,0.01,296.0,191.0,169.0,7.0,21.0,48.0,3,3,10,,,,11.1642532705816
Marc Kevin Goellner,245515.0,26,0.45,0.37,0.52,0.46,13.0,302.0,167.0,3.0,20.0,49.0,3,2,4,,0.18181818181818202,0.18181818181818202,12.4111133241465
Jun Kato,70312.0,367,0.01,,,0.01,28.0,109.0,75.0,5.0,17.0,39.0,3,1,1,,,,11.160697760244501
Alejandro Davidovich Fokina,148709.5,82,0.31,0.33,0.33,0.01,259.0,150.0,9.0,,,20.0,3,3,4,,,,11.9097500174284
Alejandro Gomez Gb42,,352,0.5,0.5,,,98.0,154.0,9.0,,,28.0,1,1,1,,,,
Jurij Rodionov,63880.0,168,0.01,,0.01,0.01,286.0,82.0,131.0,,,20.0,2,3,1,,,,11.064761602328902
Justin Bower,33213.4,180,0.27,0.5,0.17,0.33,7.0,32.0,269.0,,,41.0,2,1,4,,,,10.410708687932
Xin Gao,1.0,434,0.01,0.01,,,37.0,217.0,61.0,,,25.0,3,2,1,,,,0.0
Wolfgang Schranz,24044.71,136,0.35,0.5,0.41,0.01,360.0,203.0,112.0,4.0,17.0,43.0,3,1,4,,,,10.0876702929195
Karlis Lejnieks,,347,0.3,0.33,0.01,,469.0,440.0,546.0,,,31.0,3,1,1,,,,
Alessandro Camarco,,382,0.01,,0.01,,40.0,65.0,39.0,,,37.0,3,1,1,,,,
Wesley Koolhof,,462,,,,,128.0,252.0,6.0,5.0,18.0,30.0,3,3,1,,,,
Alex De Minaur,866574.5,18,0.57,0.63,0.18,0.4,177.0,13.0,8.0,4.0,16.0,21.0,3,3,10,0.75,,0.75,13.6723033625146
Alex Kim,46840.17,106,0.24,0.26,0.01,0.33,121.0,132.0,42.0,2.0,21.0,41.0,3,1,10,,,,10.7544964470817
Wayne Ferreira,623101.06,6,0.61,0.63,0.58,0.66,49.0,23.0,13.0,6.0,17.0,48.0,3,3,11,0.6875,0.0625,0.9375,13.342463999702401
Alex Satschko,,259,,,,,88.0,63.0,329.0,7.0,21.0,39.0,3,1,1,,,,
Abdullah Maqdas,5186.5,496,0.58,0.44,0.83,,311.0,286.0,437.0,,,32.0,3,1,4,,,,8.55381437487188
Juan Giner,23937.33,169,0.4,,0.4,,26.0,320.0,341.0,,,41.0,3,1,1,,,,10.0831944440701
Joshua Goodall,85791.2,184,0.1,0.01,,0.11,12.0,171.0,103.0,5.0,18.0,34.0,3,3,9,,,,11.3596717161134
Josh Goodall,214478.0,187,0.01,0.01,,0.01,145.0,76.0,29.0,5.0,18.0,34.0,3,3,1,,,,12.275962447987599
Yusuke Takahashi,62529.0,238,0.01,0.01,,,45.0,106.0,29.0,,,22.0,3,3,1,,,,11.0433857281098
Adam Thompson,,677,0.6,0.5,,,117.0,47.0,5.0,,,37.0,3,1,1,,,,
Jorge Brian Panta Herreros,5640.0,485,0.6,,0.6,,118.0,180.0,394.0,,,24.0,3,3,1,,,,8.637639344492099
Yosuke Watanuki,76385.0,171,0.4,0.4,,,162.0,69.0,44.0,,,21.0,3,3,1,,,,11.243541620799801
